model,price,transmission,miles_per_gallaon,fuel,year,cubic_capacity,milage,color,type,age,car_brand,car_model
XT-R D-4D,995,Manual,39.8,Diesel,2005,1995.0,117000,Black,Estate,19,Toyota, RAV4
s 1.8 VVT-i SR Hatchback,1000,Manual,39.2,Petrol,2007,1798.0,137669,Red,Hatchback,17,Toyota, Yaris
s D-4d T2 SPARES OR REPAIRS/STARTS AND DRIVES 2 Other,1200,Manual,62.8,Diesel,2012,2000.0,338345,Silver,Other,12,Toyota, Avensis
a 1.4 S 3dr Hatchback,1295,Manual,41.5,Petrol,2001,1398.0,59000,Red,Hatchback,23,Toyota, Corolla
1.33 VVT-i T3 (s/s) 5dr Trade Sale Hatchback,1495,Manual,48.7,Petrol,2009,1329.0,134000,Red,Hatchback,15,Toyota, Auris
a 2.0 T SPIRIT D-4D 5d 114 BHP Hatchback,1499,Manual,49.6,Diesel,2005,1995.0,116344,BLUE,Hatchback,19,Toyota, Corolla
s 1.3 VVTi T Spirit 5dr MPV,1500,Manual,44.1,Petrol,2004,1299.0,107000,Silver,MPV,20,Toyota, Yaris
s 2.2 D-4D T3-X 5dr Estate,1500,Manual,47.1,Diesel,2007,2231.0,136700,Silver,Estate,17,Toyota, Avensis
1.6 V-Matic TR Euro 5 5dr PART EXCHANGE TO CLEAR Hatchback,1500,Manual,42.8,Petrol,2011,1598.0,148000,Grey,Hatchback,13,Toyota, Auris
1.0 VVT-i T2 5dr Cheap Runner Hatchback,1650,Manual,52.3,Petrol,2006,998.0,156000,Silver,Hatchback,18,Toyota, Yaris
1.0 VVT-i Platinum Euro 4 5dr £20 ROAD TAX,1750,Manual,61.4,Petrol,2009,998.0,112808,Silver,Hatchback,15,Toyota, Aygo
GS FREE-TRONIC,1795,Semi-Auto,49.6,Petrol,1999,998.0,94300,Green,Hatchback,25,Toyota, Yaris
s 1.6 VVT-i TR 5dr Hatchback,1795,Manual,39.8,Petrol,2007,1598.0,104964,Silver,Hatchback,17,Toyota, Auris
MPV,1795,Manual,36.7,Petrol,2006,1794.0,107928,Blue,MPV,18,Toyota, Corolla
a 1.4 T3 COLOUR COLLECTION VVT-I 5d 92 BHP ****** 12 MONTHS MOT ON SALE ****** Hatchback,1795,Manual,42.2,Petrol,2004,1398.0,113155,GREY,Hatchback,20,Toyota, Corolla
s 2.0 D-4D T2 Saloon,1795,Manual,53.3,Diesel,2011,1998.0,134000,Silver,Saloon,13,Toyota, Avensis
Hatchback,1850,Manual,50.4,Petrol,2003,998.0,38050,Silver,Hatchback,21,Toyota, Yaris
1.4 VVT-i T2 5dr GENUINE 66000 MILES Hatchback,1895,Manual,40.9,Petrol,2008,1398.0,66000,Blue,Hatchback,16,Toyota, Auris
D-4d T Spirit 1.4 Other,1895,Manual,50.4,Diesel,2004,1400.0,129000,Silver,Other,20,Toyota, Yaris
a 1.4 VVT-i Colour Collection 5dr Hatchback,1899,Manual,42.2,Petrol,2005,1398.0,69614,Silver,Hatchback,19,Toyota, Corolla
1.4 D-4D TR 5dr 1 OWNER,1950,Manual,62.8,Diesel,2008,1364.0,136176,Silver,Hatchback,16,Toyota, Yaris
DIESEL HATCHBACK Hatchback,1950,Manual,52.3,Diesel,2007,1998.0,174400,Blue,Hatchback,17,Toyota, Auris
Hatchback,1990,Manual,40.4,Petrol,2005,1600.0,128720,Silver,Hatchback,19,Toyota, Corolla
Hatchback,1995,Manual,61.4,Petrol,2007,1000.0,97033,Blue,Hatchback,17,Toyota, Aygo
1.8 VVT-i Colour Collection 4dr Saloon,1995,Manual,39.2,Petrol,2006,1794.0,109000,Blue,Saloon,18,Toyota, Avensis
o VVT-I BLUE Hatchback,1995,Manual,61.4,Petrol,2008,998.0,112000,Blue,Hatchback,16,Toyota, Aygo
4  Estate,1995,Manual,32.1,Petrol,2004,2000.0,117400,Green,Estate,20,Toyota, RAV4
1.8 T2 VVT-I 5d 127 BHP Hatchback,1995,Automatic,36.7,Petrol,2003,1794.0,117562,SILVER,Hatchback,21,Toyota, Avensis
s HATCHBACK Hatchback,1995,Manual,52.3,Petrol,2008,998.0,128000,Silver,Hatchback,16,Toyota, Yaris
4 D-4D XTR Estate,1995,Manual,42.8,Diesel,2008,2231.0,133500,Grey,Estate,16,Toyota, RAV4
a Verso 2.0 T2 D-4D 5DR Manual MPV,1995,Manual,45.6,Diesel,2005,1995.0,134000,Black,MPV,19,Toyota, Corolla
s HATCHBACK SPECIAL EDS Hatchback,1995,Manual,47.1,Petrol,2007,1296.0,136000,Silver,Hatchback,17,Toyota, Yaris
s D-4d Tr 2 Other,1995,Manual,55.4,Diesel,2010,2000.0,273081,Blue,Other,14,Toyota, Avensis
s 1.5 T SPORT VVT-I 3d 105 BHP Hatchback,1995,Manual,40.4,Petrol,2001,1497.0,133000,BLACK,Hatchback,23,Toyota, Yaris
s D-4d Tr 1.4 Other,1999,Manual,68.9,Diesel,2009,1400.0,130815,Grey,Other,15,Toyota, Yaris
