price;transmission;miles_per_gallaon;fuel;cubic_capacity;milage;type;age;car_brand
995;0;39.8;0;1995.0;117000;4;19;0
1000;0;39.2;2;1798.0;137669;6;17;0
1200;0;62.8;0;2000.0;338345;8;12;0
1295;0;41.5;2;1398.0;59000;6;23;0
1495;0;48.7;2;1329.0;134000;6;15;0
1499;0;49.6;0;1995.0;116344;6;19;0
1500;0;44.1;2;1299.0;107000;7;20;0
1500;0;47.1;0;2231.0;136700;4;17;0
1500;0;42.8;2;1598.0;148000;6;13;0
1650;0;52.3;2;998.0;156000;6;18;0
1750;0;61.4;2;998.0;112808;6;15;0
1795;1;49.6;2;998.0;94300;6;25;0
1795;0;39.8;2;1598.0;104964;6;17;0
1795;0;36.7;2;1794.0;107928;7;18;0
1795;0;42.2;2;1398.0;113155;6;20;0
1795;0;53.3;0;1998.0;134000;14;13;0
1850;0;50.4;2;998.0;38050;6;21;0
1895;0;40.9;2;1398.0;66000;6;16;0
1895;0;50.4;0;1400.0;129000;8;20;0
1899;0;42.2;2;1398.0;69614;6;19;0
1950;0;62.8;0;1364.0;136176;6;16;0
1950;0;52.3;0;1998.0;174400;6;17;0
1990;0;40.4;2;1600.0;128720;6;19;0
1995;0;61.4;2;1000.0;97033;6;17;0
1995;0;39.2;2;1794.0;109000;14;18;0
1995;0;61.4;2;998.0;112000;6;16;0
1995;0;32.1;2;2000.0;117400;4;20;0
1995;2;36.7;2;1794.0;117562;6;21;0
1995;0;52.3;2;998.0;128000;6;16;0
1995;0;42.8;0;2231.0;133500;4;16;0
1995;0;45.6;0;1995.0;134000;7;19;0
1995;0;47.1;2;1296.0;136000;6;17;0
1995;0;55.4;0;2000.0;273081;8;14;0
1995;0;40.4;2;1497.0;133000;6;23;0
1999;0;68.9;0;1400.0;130815;8;15;0
1999;0;47.1;0;2231.0;153350;4;17;0
2000;0;48.7;0;2231.0;170000;13;14;0
2075;0;32.1;2;2000.0;117000;8;21;0
2180;0;51.4;0;1998.0;147000;6;16;0
2185;0;62.8;2;998.0;101356;6;15;0
2190;0;39.8;0;2000.0;133478;4;19;0
2195;0;61.4;2;998.0;77375;6;18;0
2195;0;39.8;2;1600.0;125000;6;17;0
2245;0;47.1;2;1296.0;63890;6;18;0
2250;0;40.4;0;2231.0;89027;4;17;0
2275;0;42.2;2;1400.0;63000;8;21;0
2275;2;44.8;2;1300.0;134000;8;20;0
2295;0;61.4;2;998.0;70158;6;19;0
2295;0;47.1;2;1296.0;90000;6;16;0
2295;0;52.3;2;998.0;99000;6;18;0
2295;0;47.1;2;1299.0;103800;6;18;0
2295;0;40.4;2;1598.0;108000;6;18;0
2295;0;32.1;2;1998.0;114000;13;21;0
2295;0;42.8;0;2231.0;143027;4;17;0
2295;0;48.7;2;1299.0;47000;6;20;0
2375;0;61.4;2;998.0;108000;6;16;0
2395;0;42.2;2;1398.0;73000;6;18;0
2395;0;39.8;2;1598.0;80000;6;17;0
2395;0;52.3;2;998.0;92000;6;18;0
2395;0;50.4;2;998.0;96616;6;19;0
2395;0;42.2;2;1400.0;136420;6;20;0
2400;0;62.8;2;1000.0;67141;6;15;0
2450;0;47.1;2;1296.0;87000;6;16;0
2450;0;42.2;2;1398.0;100529;6;20;0
2450;0;47.1;2;1296.0;115000;6;17;0
2475;0;56.5;2;1000.0;124000;8;15;0
2489;0;54.3;2;1329.0;98000;6;14;0
2490;0;39.2;2;1800.0;109936;8;16;0
2494;0;65.7;2;998.0;81313;6;11;0
2495;2;52.3;2;998.0;75800;6;20;0
2495;0;39.8;2;1598.0;76000;6;16;0
2495;0;65.7;2;996.0;89000;6;15;0
2495;0;61.4;2;1000.0;91541;8;18;0
2495;0;40.4;2;1598.0;96000;6;19;0
2495;0;47.1;2;1296.0;103638;6;16;0
2495;0;47.1;2;1300.0;105000;6;17;0
2495;0;47.1;2;1296.0;107000;6;18;0
2495;0;50.4;2;1299.0;121000;6;19;0
2495;0;46.3;0;2231.0;126500;6;17;0
2495;0;44.8;0;2231.0;135000;7;16;0
2495;2;44.8;2;1299.0;144500;6;19;0
2495;0;39.8;0;1995.0;148000;13;19;0
2495;2;65.7;3;1497.0;260000;6;17;0
2495;0;62.8;0;1998.0;290000;14;11;0
2495;0;40.9;2;1398.0;80000;6;17;0
2495;0;51.4;0;1998.0;102000;6;17;0
2499;0;62.8;2;1000.0;88000;8;15;0
2499;0;62.8;0;1364.0;102000;6;16;0
2499;0;52.3;2;998.0;104800;6;17;0
2500;0;61.4;2;998.0;61500;6;17;0
2500;0;65.7;2;998.0;90000;6;15;0
2500;0;61.4;2;998.0;100000;6;13;0
2500;0;55.4;0;1998.0;117450;14;15;0
2500;2;48.7;2;1296.0;122000;6;18;0
2500;0;39.8;0;1995.0;136000;13;19;0
2500;0;62.8;2;998.0;86000;6;15;0
2590;0;52.3;2;998.0;81498;6;17;0
2595;0;32.1;2;1998.0;115123;4;20;0
2650;0;47.1;2;1299.0;128000;6;18;0
2685;0;47.1;2;1300.0;92000;8;16;0
2695;0;50.4;2;998.0;28000;6;20;0
2695;0;47.1;2;1296.0;83076;6;16;0
2695;0;52.3;0;2231.0;107115;6;17;0
2695;0;56.5;2;998.0;118245;6;15;0
2695;0;62.8;2;1000.0;120000;6;14;0
2695;0;52.3;2;998.0;129296;6;17;0
2700;0;47.8;2;1329.0;112000;6;14;0
2750;0;51.4;0;1998.0;68000;6;17;0
2750;0;47.1;2;1296.0;69000;6;17;0
2750;0;62.8;2;998.0;73000;6;14;0
2750;0;40.4;0;2231.0;150000;13;18;0
2750;0;61.4;2;998.0;84090;6;16;0
2790;0;32.8;2;1998.0;132000;13;18;0
2795;0;62.8;2;1000.0;84000;6;14;0
2795;0;54.3;2;1329.0;88046;6;14;0
2795;0;40.4;2;1598.0;105100;6;18;0
2795;0;39.2;2;1798.0;130000;6;17;0
2795;2;65.7;3;1497.0;310850;6;16;0
2795;0;52.3;0;1998.0;79000;6;16;0
2850;0;65.7;2;998.0;85000;6;11;0
2890;0;49.6;0;2000.0;55700;6;19;0
2895;0;61.4;2;1000.0;95000;8;16;0
2895;0;54.3;0;1998.0;128000;4;15;0
2899;0;40.9;2;1986.0;127237;14;15;0
2945;0;53.3;0;2000.0;155000;14;13;0
2950;0;47.8;2;1329.0;131000;6;14;0
2990;0;39.2;2;1794.0;68000;6;16;0
2990;0;65.7;2;998.0;72000;6;15;0
2994;0;65.7;2;998.0;86439;6;11;0
2995;0;62.8;2;998.0;63000;6;14;0
2995;0;61.4;2;998.0;64000;6;16;0
2995;0;47.1;2;1299.0;66930;6;17;0
2995;0;61.4;2;998.0;73680;6;17;0
2995;0;61.4;2;1000.0;73889;6;16;0
2995;0;61.4;2;998.0;74215;6;17;0
2995;0;47.1;2;1300.0;78936;6;17;0
2995;0;65.7;2;996.0;79670;6;15;0
2995;0;46.3;0;2231.0;83500;6;16;0
2995;0;61.4;2;998.0;84000;6;13;0
2995;0;61.4;2;998.0;86000;6;13;0
2995;0;56.5;2;998.0;87000;6;15;0
2995;0;43.5;2;1598.0;88000;6;15;0
2995;0;52.3;2;998.0;90000;6;16;0
2995;0;62.8;2;1000.0;90927;6;15;0
2995;0;61.4;2;998.0;91000;6;13;0
2995;0;32.1;2;2000.0;96000;8;22;0
2995;0;39.8;2;1598.0;97000;6;16;0
2995;0;61.4;2;998.0;98170;6;16;0
2995;0;56.5;2;996.0;109000;6;14;0
2995;0;32.8;2;2000.0;122345;13;18;0
2995;0;32.1;2;1998.0;125720;4;21;0
2995;0;43.5;2;1598.0;136000;6;15;0
2995;0;42.8;0;2231.0;149500;13;17;0
2995;2;44.1;0;2231.0;171000;14;13;0
2999;0;61.4;2;998.0;63000;6;16;0
2999;0;61.4;2;998.0;71997;6;17;0
2999;0;62.8;2;998.0;72000;6;14;0
2999;0;62.8;2;998.0;75500;6;15;0
2999;0;39.8;0;1995.0;87000;13;18;0
2999;0;65.7;2;998.0;87200;6;11;0
2999;0;61.4;2;998.0;98469;6;13;0
2999;0;58.9;2;1000.0;108000;6;12;0
2999;0;52.3;0;2231.0;113615;6;17;0
2999;0;42.8;0;2231.0;149000;4;17;0
3000;2;45137;2;1998.0;48248;14;21;0
3000;0;47.1;2;1299.0;83677;6;16;0
3000;0;65.7;2;1000.0;102800;6;15;0
3090;0;60.1;0;1364.0;100051;6;15;0
3150;0;36.7;2;1794.0;95441;7;17;0
3190;0;62.8;2;998.0;76000;6;15;0
3190;0;62.8;2;998.0;102726;6;15;0
3195;0;62.8;2;998.0;69800;6;15;0
3195;0;65.7;2;998.0;71000;6;15;0
3195;2;65.7;2;1497.0;189500;6;16;0
3200;0;55.4;2;1329.0;81242;6;15;0
3250;0;50.4;2;998.0;26000;6;21;0
3250;0;48.7;2;1299.0;29500;6;20;0
3250;0;47.1;2;1296.0;63700;6;16;0
3250;0;39.8;2;1598.0;69703;6;16;0
3250;0;47.1;2;1299.0;71000;6;18;0
3250;2;61.4;2;1000.0;91000;8;18;0
3279;0;61.4;2;998.0;98700;6;13;0
3290;0;61.4;2;998.0;73000;6;12;0
3290;0;39.2;2;1794.0;96000;14;16;0
3290;0;54.3;2;1329.0;100000;6;13;0
3295;0;42.2;2;1332.0;67233;6;27;0
3295;0;47.1;2;1296.0;68500;6;17;0
