url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30797066,Audi A1,1.6 Tdi S Line Hatchback 3dr Diesel Manual Euro 6 (s/s) (116 Ps) Hatchback,"10,000",2016,Manual,76.3 mpg,Diesel,2016,"53,687 miles",Diesel,Manual,Grey,Hatchback,76.3 mpg,
/ad/30718909,Audi A1,1.4 TFSI S line Sportback S Tronic Euro 5 5dr Hatchback,"10,000",2013,Automatic,47.9 mpg,Petrol,2013,1390cc,"54,700 miles",Petrol,Automatic,White,Hatchback,47.9 mpg
/ad/30801646,Audi TT,1.8 TFSI S line Coupe 3dr Petrol S Tronic Coupe,"10,000",2013,Automatic,44.1 mpg,Petrol,2013,1798cc,"64,000 miles",Petrol,Automatic,WHITE,Coupe,44.1 mpg
/ad/30961153,Audi A1,1.4 TFSI Sport 5dr Hatchback,"10,000",2017,Manual,55.4 mpg,Petrol,2017,1.4L,"64,324 miles",Petrol,Manual,Grey,Hatchback,55.4 mpg
/ad/30907218,Audi A3,1.4 TFSI 125 S Line 3dr (Dusk/ Hatchback,"10,000",2015,Manual,55.4 mpg,Petrol,2015,1.4L,"67,272 miles",Petrol,Manual,Brilliant Black Gloss,Hatchback,55.4 mpg
/ad/30450964,Audi A5,2.0 TDI S line Sportback 5dr Diesel Manual quattro Euro 5 (s/s) (177 ps) Hatchback,"10,000",2013,Manual,55.4 mpg,Diesel,2013,1968cc,"81,011 miles",Diesel,Manual,Blue,Hatchback,55.4 mpg
/ad/30821965,Audi A5,3.0 TDI V6 S line S Tronic quattro Euro 5 (s/s) 2dr Convertible,"10,000",2012,Automatic,47.9 mpg,Diesel,2012,2967cc,"81,306 miles",Diesel,Automatic,Grey,Convertible,47.9 mpg
/ad/30797066,Audi A1,1.6 Tdi S Line Hatchback 3dr Diesel Manual Euro 6 (s/s) (116 Ps) Hatchback,"10,000",2016,Manual,76.3 mpg,Diesel,2016,"53,687 miles",Diesel,Manual,Grey,Hatchback,76.3 mpg,
/ad/30907218,Audi A3,1.4 TFSI 125 S Line 3dr (Dusk/ Hatchback,"10,000",2015,Manual,55.4 mpg,Petrol,2015,1.4L,"67,272 miles",Petrol,Manual,Brilliant Black Gloss,Hatchback,55.4 mpg
/ad/30571703,Audi A5,2.0 SPORTBACK TDI QUATTRO BLACK EDITION S/S 5d 175 BHP Hatchback,"10,000",2014,Manual,55.4 mpg,Diesel,2014,1968cc,"105,000 miles",Diesel,Manual,BLACK,Hatchback,55.4 mpg
/ad/30939386,Audi A5,2.0 TDI S line Special Edition Euro 5 (s/s) 2dr Convertible,"10,000",2013,Manual,57.6 mpg,Diesel,2013,1968cc,"57,876 miles",Diesel,Manual,White,Convertible,57.6 mpg
/ad/30771609,Audi A4,1.4 TFSI SE Euro 6 (s/s) 4dr £2445 OF OPTIONAL EXTRAS Saloon,"10,000",2018,Manual,53.3 mpg,Petrol,2018,1395cc,"92,370 miles",Petrol,Manual,White,Saloon,53.3 mpg
