url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30553783,BMW 1 Series,120i (2.0) M Sport 5dr (Nav/Servotronic) Step Auto Hatchback,"19,000",2018,Automatic,36.7 mpg,Petrol,2018,1998cc,"4,171 miles",Petrol,Automatic,Red,Hatchback,36.7 mpg
/ad/30772342,BMW 1 Series,116d M Sport 5dr Hatchback,"19,499",2020,Manual,54.3 mpg,Diesel,2020,1.5L,"8,646 miles",Diesel,Manual,Grey,Hatchback,54.3 mpg
/ad/30423141,BMW X1,2.0 XDRIVE20I M SPORT 5d AUTO 189 BHP Estate,"19,999",2017,Automatic,44.8 mpg,Petrol,2017,2L,"10,000 miles",Petrol,Automatic,White,Estate,44.8 mpg
/ad/30610994,BMW 2 Series,220i Luxury 5dr DCT Estate,"19,950",2019,Semi-Auto,47.9 mpg,Petrol,2019,2L,"10,082 miles",Petrol,Semiauto,Grey,Estate,47.9 mpg
/ad/30689668,BMW 1 Series,1.5 118i Sport Euro 6 (s/s) 5dr BLUETOOTH CRUISE CONTROL Hatchback,"17,800",2019,Manual,44.1 mpg,Petrol,2019,1499cc,"11,000 miles",Petrol,Manual,Grey,Hatchback,44.1 mpg
/ad/30644876,BMW X1,SDRIVE18D SE Estate,"18,995",2017,Automatic,65.7 mpg,Diesel,2017,1995cc,"11,000 miles",Diesel,Automatic,Black,Estate,65.7 mpg
/ad/30612491,BMW i3,125kW 42kWh 5dr Auto Hatchback,"17,620",2020,Automatic,Tax: £0,2020,"11,493 miles",Electric,Automatic,White,Hatchback,,,
/ad/30892881,BMW i3,42.2kWh Hatchback 5dr Electric Auto (170 ps) Full Leather,"19,500",2021,Automatic,Tax: £0,2021,"12,135 miles",Electric,Automatic,Black,Hatchback,,,
/ad/30896995,BMW i3,I3S 120AH 5d AUTO 181 BHP Hatchback,"17,999",2019,Automatic,Tax: £0,2019,"12,235 miles",Other,Automatic,Blue,Hatchback,,,
/ad/30795203,BMW 2 Series,218i M Sport 2dr [Nav] Step Auto Coupe,"19,500",2020,Semi-Auto,50.4 mpg,Petrol,2020,1.5L,"12,647 miles",Petrol,Semiauto,White,Coupe,50.4 mpg
/ad/30612491,BMW i3,125kW 42kWh 5dr Auto Hatchback,"17,620",2020,Automatic,Tax: £0,2020,"11,493 miles",Electric,Automatic,White,Hatchback,,,
/ad/30892881,BMW i3,42.2kWh Hatchback 5dr Electric Auto (170 ps) Full Leather,"19,500",2021,Automatic,Tax: £0,2021,"12,135 miles",Electric,Automatic,Black,Hatchback,,,
