url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30867731,BMW 1 Series,118d 5dr Hatchback,990,2005,Manual,50.4 mpg,Diesel,2005,1995cc,"142,475 miles",Diesel,Manual,Metallic Silver,Hatchback,50.4 mpg
/ad/30465269,BMW 1 Series,2.0 120i SE Euro 4 5dr Hatchback,990,2004,Manual,38.2 mpg,Petrol,2004,1995cc,"174,000 miles",Petrol,Manual,Grey,Hatchback,38.2 mpg
/ad/29648913,BMW 1 Series,2.0 118d Sport Euro 5 5dr Stock clearance|Trade Sale Hatchback,"1,150",2009,Manual,62.8 mpg,Diesel,2009,1995cc,"162,000 miles",Diesel,Manual,Blue,Hatchback,62.8 mpg
/ad/29095957,BMW 1 Series,2.0 120d Sport Euro 4 5dr trade sale Hatchback,"1,250",2005,Manual,49.6 mpg,Diesel,2005,1995cc,"134,300 miles",Diesel,Manual,Grey,Hatchback,49.6 mpg
/ad/29143272,BMW 3 Series,2.0 320d SE Euro 4 4dr Trade Sale cheap car Saloon,"1,495",2006,Manual,49.6 mpg,Diesel,2006,1995cc,"143,000 miles",Diesel,Manual,Black,Saloon,49.6 mpg
/ad/30880572,BMW 3 Series,2.0 320d ES 4dr Saloon,"1,495",2004,Manual,49.6 mpg,Diesel,2004,1995cc,"175,000 miles",Diesel,Manual,Silver,Saloon,49.6 mpg
/ad/30786559,BMW 3 Series,2.0 E46 320d SE Touring Estate,"1,495",2005,Automatic,39.8 mpg,Diesel,2005,1995cc,"199,000 miles",Diesel,Automatic,Blue,Estate,39.8 mpg
/ad/29499557,BMW 5 Series,2.0 520D SE 4d 161 BHP Saloon,"1,499",2005,Manual,47.9 mpg,Diesel,2005,1995cc,"211,000 miles",Diesel,Manual,BLACK,Saloon,47.9 mpg
/ad/30950850,BMW X5,3.0d Sport Auto 4WD Euro 4 5dr PART EXCHANGE TO CLEAR SUV,"1,500",2005,Automatic,30.1 mpg,Diesel,2005,2993cc,"148,000 miles",Diesel,Automatic,Grey,SUV,30.1 mpg
/ad/30950850,BMW X5,3.0d Sport Auto 4WD Euro 4 5dr PART EXCHANGE TO CLEAR SUV,"1,500",2005,Automatic,30.1 mpg,Diesel,2005,2993cc,"148,000 miles",Diesel,Automatic,Grey,SUV,30.1 mpg
/ad/30461410,BMW 3 Series,2.0TD 318d ES Touring Estate 5d 1995cc,"1,690",2010,Manual,Tax: n/a,2010,1995cc,1 miles,Diesel,Manual,Blue,Estate,,
/ad/30131172,BMW 3 Series,318i SE 4dr Saloon,"1,795",2006,Manual,38.7 mpg,Petrol,2006,2000cc,"143,000 miles",Petrol,Manual,Silver,Saloon,38.7 mpg
/ad/30431115,BMW 3 Series,Hatchback,"1,895",2001,Manual,51.4 mpg,Diesel,2001,2000cc,"184,325 miles",Diesel,Manual,Silver,Hatchback,51.4 mpg
