url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30385983,Ford Ka,Hatchback,"5,000",2014,Manual,57.7 mpg,Petrol,2014,1242cc,"37,000 miles",Petrol,Manual,Gold,Hatchback,57.7 mpg
/ad/30218725,Ford Focus,s 1.6 TDCi Zetec 5dr [110] [DPF] Estate,"5,000",2010,Manual,62.8 mpg,Diesel,2010,1560cc,"49,000 miles",Diesel,Manual,Blue,Estate,62.8 mpg
/ad/30484050,Ford Fiesta,a 1.4 Zetec Hatchback 3dr Petrol Manual (133 g/km 94 bhp) Hatchback,"5,000",2009,Manual,49.6 mpg,Petrol,2009,1388cc,"51,000 miles",Petrol,Manual,Blue,Hatchback,49.6 mpg
/ad/30775837,Ford C-MAX,1.6 ZETEC 5d 104 BHP MPV,"5,000",2012,Manual,42.8 mpg,Petrol,2012,1596cc,"61,954 miles",Petrol,Manual,SILVER,MPV,42.8 mpg
/ad/29524763,Ford Focus,s 1.6 125 Zetec 5dr Hatchback,"5,000",2012,Manual,47.9 mpg,Petrol,2012,1596cc,"62,000 miles",Petrol,Manual,White,Hatchback,47.9 mpg
/ad/30515792,Ford Focus,Hatchback,"5,000",2010,Automatic,37.7 mpg,Petrol,2010,1596cc,"63,000 miles",Petrol,Automatic,Blue,Hatchback,37.7 mpg
/ad/30682972,Ford Focus,ZETEC 5-Door Hatchback,"5,000",2011,Manual,47.9 mpg,Petrol,2011,1596cc,"82,000 miles",Petrol,Manual,Silver,Hatchback,47.9 mpg
/ad/30852480,Ford Focus,s 1.6 TITANIUM 5d 148 BHP Hatchback,"5,000",2011,Manual,47.1 mpg,Petrol,2011,1596cc,"85,000 miles",Petrol,Manual,YELLOW,Hatchback,47.1 mpg
/ad/30931442,Ford Fiesta,1.0T EcoBoost Zetec White Edition Euro 6 (s/s) 3dr SVC HISTORY PARKING SENSORS! Hatchback,"5,000",2016,Manual,65.7 mpg,Petrol,2016,999cc,"99,820 miles",Petrol,Manual,White,Hatchback,65.7 mpg
/ad/30792127,Ford Fiesta,a 1.6 TITANIUM 5d 118 BHP Hatchback,"5,000",2010,Manual,48.7 mpg,Petrol,2010,1596cc,"104,410 miles",Petrol,Manual,GREY,Hatchback,48.7 mpg
/ad/30716721,Ford Transit Connect,1.6 200 P/V 74 BHP Other,"5,000",2014,Manual,58.9 mpg,Diesel,2014,1560cc,"173,400 miles",Diesel,Manual,WHITE,Other,58.9 mpg
/ad/29353228,Ford Fiesta,1.2 ZETEC 5d 81 BHP Hatchback,"5,095",2013,Manual,54.3 mpg,Petrol,2013,1242cc,"84,000 miles",Petrol,Manual,SILVER,Hatchback,54.3 mpg
/ad/30122830,Ford Fiesta,a 1.0 EcoBoost Titanium 5dr Hatchback,"5,100",2015,Manual,65.7 mpg,Petrol,2015,1000cc,"46,177 miles",Petrol,Manual,Red,Hatchback,65.7 mpg
/ad/30542095,Ford Fiesta,a 1.6 TITANIUM ECONETIC TDCI 5d 94 BHP Hatchback,"5,100",2014,Manual,85.6 mpg,Diesel,2014,1560cc,"82,264 miles",Diesel,Manual,SILVER,Hatchback,85.6 mpg
/ad/30473793,Ford Kuga,a 2.0 TDCi Titanium AWD Euro 4 5dr SUV,"5,100",2010,Manual,44.1 mpg,Diesel,2010,1997cc,"88,083 miles",Diesel,Manual,Silver,SUV,44.1 mpg
/ad/30901441,Ford Fiesta,a 1.0T EcoBoost Zetec Euro 6 (s/s) 5dr Hatchback,"5,100",2015,Manual,65.7 mpg,Petrol,2015,999cc,"90,331 miles",Petrol,Manual,White,Hatchback,65.7 mpg
