url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30811930,Jaguar XE,2.0 SE 4dr Auto Saloon,"24,395",2019,Automatic,36.2 mpg,Petrol,2019,2L,"4,601 miles",Petrol,Automatic,Red,Saloon,36.2 mpg
/ad/30892569,Jaguar E-PACE,2.0d [180] S 5dr Auto SUV,"21,980",2020,Automatic,39.2 mpg,Diesel,2020,2L,"6,115 miles",Diesel,Automatic,Red,SUV,39.2 mpg
/ad/30863712,Jaguar E-PACE,2.0d SE 5dr 2WD SUV,"23,414",2020,Manual,42.8 mpg,Diesel,2020,2L,"9,675 miles",Diesel,Manual,Grey,SUV,42.8 mpg
/ad/30247394,Jaguar XE,2.0 PORTFOLIO 4d 178 BHP Saloon,"18,990",2017,Automatic,67.3 mpg,Diesel,2017,2L,"11,578 miles",Diesel,Automatic,Black,Saloon,67.3 mpg
/ad/30871715,Jaguar XE,2.0 D200 R-Dynamic SE 4dr Auto Saloon,"24,900",2020,Automatic,58.9 mpg,Diesel,2020,1998cc,"14,175 miles",Diesel,Automatic,Unknown,Saloon,58.9 mpg
/ad/30810905,Jaguar E-PACE,2.0d R-Dynamic S 5dr SUV,"22,199",2019,Manual,48.7 mpg,Diesel,2019,2L,"14,925 miles",Diesel,Manual,Black,SUV,48.7 mpg
/ad/30651115,Jaguar E-PACE,Diesel Estate HSE Estate,"24,995",2019,Automatic,40.9 mpg,Diesel,2019,2000cc,"15,694 miles",Diesel,Automatic,Silver,Estate,40.9 mpg
/ad/30799563,Jaguar E-PACE,2.0 S 5dr Auto SUV,"22,420",2018,Automatic,36.7 mpg,Petrol,2018,2L,"16,509 miles",Petrol,Automatic,Silver,SUV,36.7 mpg
/ad/30897521,Jaguar E-PACE,2.0 (200) S 5dr Auto SUV,"24,900",2019,Automatic,34.4 mpg,Petrol,2019,1998cc,"16,878 miles",Petrol,Automatic,White,SUV,34.4 mpg
/ad/30894371,Jaguar XE,2.0 [300] R-Dynamic SE 4dr Auto AWD Saloon,"22,650",2020,Automatic,36.2 mpg,Petrol,2020,1997cc,"17,132 miles",Petrol,Automatic,White,Saloon,36.2 mpg
/ad/30808908,Jaguar E-PACE,2.0d (180) R-Dynamic S 5dr Mer 4x4,"21,708",2019,Manual,48.7 mpg,Diesel,2019,2L,"19,500 miles",Diesel,Manual,RED,4x4,48.7 mpg
/ad/30900779,Jaguar XF,2.0d R-Sport Saloon 4dr Diesel Auto Euro 6 (s/s) (180 ps) Full Leather,"20,900",2019,Automatic,49.6 mpg,Diesel,2019,1999cc,"19,840 miles",Diesel,Automatic,White,Saloon,49.6 mpg
/ad/30892856,Jaguar E-PACE,2.0 D180 R-Dynamic S Auto AWD Euro 6 (s/s) 5dr HEATED SEATS SERVICE HISTORY SUV,"25,000",2020,Automatic,47.1 mpg,Diesel,2020,1999cc,"19,900 miles",Diesel,Automatic,Grey,SUV,47.1 mpg
/ad/30751941,Jaguar E-PACE,2.0 R-Dynamic S 5dr Auto SUV,"24,299",2018,Automatic,36.7 mpg,Petrol,2018,2L,"20,167 miles",Petrol,Automatic,Black,SUV,36.7 mpg
/ad/30539436,Jaguar XE,2.0 D200 R-Dynamic SE 4dr Auto Saloon,"24,995",2020,Automatic,58.9 mpg,Diesel,2020,1998cc,"20,935 miles",Diesel,Automatic,Red,Saloon,58.9 mpg
/ad/30585608,Jaguar XF,2.0TD (180ps) AWD R-Sport AUTOMATIC,"23,990",2020,Automatic,Tax: n/a,2020,1999cc,"21,000 miles",Diesel,Automatic,Grey,Saloon,,
/ad/30891992,Jaguar E-PACE,CHEQUERED FLAG Estate,"24,995",2019,Automatic,39.2 mpg,Diesel,2019,1999cc,"21,008 miles",Diesel,Automatic,White,Estate,39.2 mpg
/ad/30802028,Jaguar E-PACE,2.0d S 5dr 2WD SUV,"18,599",2019,Manual,53.3 mpg,Diesel,2019,2L,"21,504 miles",Diesel,Manual,Red,SUV,53.3 mpg
