url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30789423,Jaguar S Type,4.2 V8 SE 4d 300 BHP ORIGINAL JAGUAR CAT CONVERTERS FOR SPARES OR REPAIRS Saloon,795,2002,Automatic,24.5 mpg,Petrol,2002,4196cc,"113,000 miles",Petrol,Automatic,Blue,Saloon,24.5 mpg
/ad/30870510,Jaguar X Type,kab4,850,2001,Automatic,27.0 mpg,Petrol,2001,2967cc,"95,500 miles",Petrol,Automatic,Black,Saloon,27 mpg
/ad/28776266,Jaguar S Type,SE V6 Saloon,995,2002,Automatic,24.0 mpg,Petrol,2002,2967cc,"113,579 miles",Petrol,Automatic,Grey,Saloon,24 mpg
/ad/30769332,Jaguar X Type,2.0D SE 5dr Estate,999,2005,Manual,48.7 mpg,Diesel,2005,2L,"165,000 miles",Diesel,Manual,Silver,Estate,48.7 mpg
/ad/30924535,Jaguar X Type,Se 2 Other,"1,195",2006,Manual,48.7 mpg,Diesel,2006,2000cc,"154,500 miles",Diesel,Manual,Silver,Other,48.7 mpg
/ad/30326178,Jaguar X Type,2.2D SE Saloon 4d 2198cc,"1,275",2006,Manual,Tax: n/a,2006,2198cc,"123,831 miles",Diesel,Manual,Grey,Saloon,,
/ad/30208792,Jaguar X Type,2.2D DPF Sovereign Saloon 4d 2198cc auto,"1,275",2009,Semi-Auto,Tax: n/a,2009,2198cc,"149,808 miles",Diesel,Semi Automatic,Black,Saloon,,
/ad/30438015,Jaguar S Type,V6 2.5 Other,"1,595",2005,Manual,29.6 mpg,Petrol,2005,2500cc,"150,000 miles",Petrol,Manual,Silver,Other,29.6 mpg
/ad/30264643,Jaguar Sovereign,LONG WHEELBASE,"1,750",1997,Automatic,Tax: n/a,1997,3981cc,"197,000 miles",Petrol,Automatic,Red,Saloon,,
/ad/30874698,Jaguar XF,V6 LUXURY,"1,850",2009,Automatic,42.0 mpg,Diesel,2009,2993cc,"197,000 miles",Diesel,Automatic,Silver,Saloon,42 mpg
/ad/30389076,Jaguar X Type,se 2.1 Other,"1,975",2004,Automatic,28.3 mpg,Petrol,2004,2100cc,"123,000 miles",Petrol,Automatic,Blue,Other,28.3 mpg
/ad/26915302,Jaguar X Type,2.0D Sport Premium Saloon 4d 1998cc,"1,995",2005,Manual,Tax: n/a,2005,1998cc,"66,000 miles",Diesel,Manual,Silver,Saloon,,
/ad/30931846,Jaguar S Type,V6 4-Door Saloon,"1,995",2000,Manual,25.5 mpg,Petrol,2000,2967cc,"92,939 miles",Petrol,Manual,Silver,Saloon,25.5 mpg
/ad/30181790,Jaguar X Type,2.0 SE 4d 130 BHP Saloon,"1,995",2004,Manual,50.3 mpg,Diesel,2004,1988cc,"108,255 miles",Diesel,Manual,BEIGE,Saloon,50.3 mpg
/ad/30146096,Jaguar X Type,2.5 V6 SPORT 5d 195 BHP Estate,"2,000",2005,Automatic,27.1 mpg,Petrol,2005,2496cc,"118,000 miles",Petrol,Automatic,BLUE,Estate,27.1 mpg
/ad/28608159,Jaguar S Type,2.7D V6 SE Saloon 4d 2720cc auto,"2,000",2007,Automatic,36.2 mpg,Diesel,2007,2720cc,"124,226 miles",Diesel,Automatic,Blue,Saloon,36.2 mpg
/ad/30540649,Jaguar XF,3.0d V6 Luxury Auto Euro 5 4dr spares and repair Saloon,"2,000",2010,Automatic,42.0 mpg,Diesel,2010,2993cc,"136,000 miles",Diesel,Automatic,Silver,Saloon,42 mpg
/ad/30902044,Jaguar S Type,V6 Saloon,"2,250",2003,Automatic,27.4 mpg,Petrol,2003,2496cc,"128,400 miles",Petrol,Automatic,Blue,Saloon,27.4 mpg
/ad/30690953,Jaguar S Type,Saloon,"2,290",2006,Automatic,36.0 mpg,Diesel,2006,2720cc,"130,800 miles",Diesel,Automatic,Blue,Saloon,36 mpg
/ad/30889754,Jaguar X Type,2.2D Sport 4dr Saloon,"2,295",2006,Manual,47.1 mpg,Diesel,2006,2198cc,"100,000 miles",Diesel,Manual,Black,Saloon,47.1 mpg
/ad/30546160,Jaguar S Type,V6 Xs 3 Other,"2,295",2007,Automatic,26.2 mpg,Petrol,2007,3000cc,"164,287 miles",Petrol,Automatic,Silver,Other,26.2 mpg
/ad/29790735,Jaguar S Type,2.7D V6 SE 4dr S/History|2 Keys|cheap Runner Saloon,"2,350",2005,Automatic,36.0 mpg,Diesel,2005,2720cc,"92,000 miles",Diesel,Automatic,Silver,Saloon,36 mpg
/ad/28464001,Jaguar S Type,2.7d V6 Se Saloon 2.7 Other,"2,350",2005,Automatic,36.0 mpg,Diesel,2005,2700cc,"106,460 miles",Diesel,Automatic,Black,Other,36 mpg
/ad/30903542,Jaguar X Type,SE V6,"2,450",2003,Manual,30.7 mpg,Petrol,2003,2099cc,"55,700 miles",Petrol,Manual,Zircon,Saloon,30.7 mpg
