url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/27969884,Jaguar E Type,SERIES 3 V12 Convertible,"169,890",1973,Manual,Tax: n/a,1973,5343cc,"82,518 miles",Petrol,Manual,PRIMROSE YELLOW,Convertible,,
/ad/30120515,Jaguar E Type,Series 3 Convertible Convertible,"139,950",1973,Manual,Tax: n/a,1973,5343cc,"75,174 miles",Petrol,Manual,Black,Convertible,,
/ad/30413121,Jaguar X Type,Coupe,"135,000",1969,Manual,Tax: n/a,1969,4235cc,"54,300 miles",Petrol,Manual,Red,Coupe,,
/ad/30414709,Jaguar X Type,Coupe,"135,000",1969,Manual,Tax: n/a,1969,4235cc,"54,300 miles",Petrol,Manual,Red,Coupe,,
/ad/28266582,Jaguar E Type,4.2 4.2 2d Coupe,"135,000",1965,Manual,Tax: £280,1965,4235cc,"82,543 miles",Petrol,Manual,GREEN,Coupe,,
/ad/28859105,Jaguar E Type,S1Â½ 4.2 Roadster Convertible,"125,000",1967,Manual,Tax: n/a,1967,4.235L,"82,825 miles",Petrol,Manual,Red,Convertible,,
/ad/29292814,Jaguar E Type,V12 Roadster Convertible,"117,500",1974,Manual,Tax: n/a,1974,5343cc,1 miles,Petrol,Manual,Red,Convertible,,
/ad/27969839,Jaguar E Type,SERIES 3 V12 Convertible,"116,790",1973,Manual,Tax: n/a,1973,5343cc,"28,939 miles",Petrol,Manual,BRITISH RACING GREEN,Convertible,,
/ad/29730164,Jaguar E Type,Series 2 Roadster Convertible,"100,000",1970,Manual,Tax: n/a,1970,4235cc,"78,721 miles",Petrol,Manual,Signal Red,Convertible,,
/ad/29292758,Jaguar E Type,V12 Roadster Convertible,"99,995",1973,Manual,Tax: n/a,1973,5343cc,"75,000 miles",Petrol,Manual,Signal Red,Convertible,,
/ad/27022664,Jaguar E Type,Series 1 Fixed Head Coupe Coupe,"94,995",1962,Manual,Tax: £155,1962,3781cc,"88,689 miles",Petrol,Manual,Old English White,Coupe,,
/ad/27966721,Jaguar XK,Coupe,"90,000",1959,Manual,Tax: n/a,1959,3442cc,10 miles,Petrol,Manual,Black,Coupe,,
/ad/30283141,Jaguar F-PACE,5.0 V8 550 SVR Edition 1988 5dr Auto AWD SUV,"89,731",2023,Automatic,12.2 mpg,Petrol,2023,5L,"7,778 miles",Petrol,Automatic,Other,SUV,12.2 mpg
/ad/30504375,Jaguar F-PACE,5.0 P550 V8 SVR Edition 1988 Quickshift AWD Euro 6 (s/s) 5dr SUV,"88,990",,Automatic,Tax: n/a,5000cc,10 miles,Petrol,Automatic,Purple,SUV,,,
/ad/29837898,Jaguar F-TYPE,5.0 P575 Supercharged V8 R 2dr Auto AWD Convertible,"87,766",2022,Automatic,25.9 mpg,Petrol,2022,5L,"11,429 miles",Petrol,Automatic,Blue,Convertible,25.9 mpg
/ad/30563464,Jaguar I-PACE,294kW EV400 Sport 90kWh 5dr Au Estate,"81,960",2024,Automatic,54.3 mpg,Electric,2024,100 miles,Electric,Automatic,WHITE,Estate,54.3 mpg,
