url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30241515,Mazda Mazda3,Hatchback,"5,000",2013,Manual,52.3 mpg,Diesel,2013,2183cc,"73,999 miles",Diesel,Manual,Silver,Hatchback,52.3 mpg
/ad/29946274,Mazda Mazda3,2.3 MPS 5d 260 BHP Hatchback,"5,000",2012,Manual,29.4 mpg,Petrol,2012,2261cc,"117,470 miles",Petrol,Manual,SILVER,Hatchback,29.4 mpg
/ad/30737871,Mazda MX-5,1.8 I SE 2d 125 BHP Convertible,"5,049",2009,Manual,40.4 mpg,Petrol,2009,1.8L,"71,188 miles",Petrol,Manual,Blue,Convertible,40.4 mpg
/ad/30919749,Mazda MX-5,Mx-5 1.8i Miyako 2Dr Convertible Sports,"5,200",2009,Manual,40.4 mpg,Petrol,2009,1798.0cc,"87,762 miles",Petrol,Manual,Red,Sports,40.4 mpg
/ad/29991116,Mazda MADZA2,1.5 TS2 Auto Euro 5 5dr Hatchback,"5,250",2011,Automatic,44.8 mpg,Petrol,2011,1498cc,"70,000 miles",Petrol,Automatic,Black,Hatchback,44.8 mpg
/ad/30440166,Mazda Mazda3,2.0 SPORT NAV 4d 118 BHP Saloon,"5,250",2014,Manual,55.4 mpg,Petrol,2014,1998cc,"135,817 miles",Petrol,Manual,SILVER,Saloon,55.4 mpg
/ad/29678887,Mazda Mazda3,Hatchback,"5,290",2013,Manual,44.8 mpg,Petrol,2013,1600cc,"74,348 miles",Petrol,Manual,Grey,Hatchback,44.8 mpg
/ad/30924684,Mazda Mazda3,1.6 Tamura Hatchback,"5,295",2013,Manual,44.8 mpg,Petrol,2013,1598cc,"58,000 miles",Petrol,Manual,Silver,Hatchback,44.8 mpg
/ad/29295067,Mazda MX-5,1.8i [Option Pack] 2dr Convertible,"5,295",2007,Manual,38.7 mpg,Petrol,2007,1798cc,"91,200 miles",Petrol,Manual,Silver,Convertible,38.7 mpg
/ad/30820130,Mazda Mazda3,1.6 Venture Euro 5 5dr 1 OWNER FROM NEW Hatchback,"5,295",2013,Manual,44.8 mpg,Petrol,2013,1598cc,"95,000 miles",Petrol,Manual,Grey,Hatchback,44.8 mpg
