url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30790067,Mercedes-Benz B Class,B200d Sport 5dr Auto MPV,"15,000",2017,Semi-Auto,68.9 mpg,Diesel,2017,2.1L,"21,974 miles",Diesel,Semiauto,Blue,MPV,68.9 mpg
/ad/30907004,Mercedes-Benz A Class,A180d AMG Line Auto Hatchback,"14,479",2018,Automatic,74.3 mpg,Diesel,2018,1500cc,"27,300 miles",Diesel,Automatic,Cosmos Black,Hatchback,74.3 mpg
/ad/30728435,Mercedes-Benz CLA Class,2.1 CLA200d Sport Coupe 4dr Diesel Manual Euro 6 (s/s) (136 ps) Part Leather,"14,200",2017,Manual,67.3 mpg,Diesel,2017,2143cc,"28,630 miles",Diesel,Manual,Red,Saloon,67.3 mpg
/ad/30559945,Mercedes-Benz A Class,1.3 A180 SE Hatchback,"14,995",2018,Manual,28.5 mpg,Petrol,2018,1332cc,"31,000 miles",Petrol,Manual,Red,Hatchback,28.5 mpg
/ad/30859963,Mercedes-Benz A Class,A180 SE 5dr Hatchback,"14,920",2019,Manual,28.5 mpg,Petrol,2019,1.3L,"31,452 miles",Petrol,Manual,Red,Hatchback,28.5 mpg
/ad/30609875,Mercedes-Benz A Class,1.6 A 180 SPORT 5d 121 BHP Hatchback,"13,450",2017,Manual,50.4 mpg,Petrol,2017,1.6L,"33,800 miles",Petrol,Manual,Red,Hatchback,50.4 mpg
/ad/30230369,Mercedes-Benz A Class,A180 SE 5dr Hatchback,"14,698",2019,Manual,28.5 mpg,Petrol,2019,1.3L,"33,950 miles",Petrol,Manual,Red,Hatchback,28.5 mpg
/ad/30584233,Mercedes-Benz GLA Class,2.1 GLA200d AMG Line SUV 5dr Diesel Manual Euro 6 (s/s) (136 ps) AMG body styling,"14,800",2017,Manual,64.2 mpg,Diesel,2017,2143cc,"34,027 miles",Diesel,Manual,Red,SUV,64.2 mpg
/ad/30789787,Mercedes-Benz A Class,A160 AMG Line Executive 5dr Hatchback,"14,907",2018,Manual,51.4 mpg,Petrol,2018,1.6L,"35,624 miles",Petrol,Manual,Red,Hatchback,51.4 mpg
/ad/30679436,Mercedes-Benz C Class,2.0 C 200 SE 4d 184 BHP Saloon,"14,290",2017,Automatic,50.4 mpg,Petrol,2017,2L,"36,000 miles",Petrol,Automatic,White,Saloon,50.4 mpg
/ad/30830433,Mercedes-Benz A Class,Hatchback,"14,999",2019,Manual,28.5 mpg,Petrol,2019,1332cc,"37,468 miles",Petrol,Manual,Black,Hatchback,28.5 mpg
/ad/30910156,Mercedes-Benz A Class,A200d Sport Edition 5dr Hatchback,"13,495",2018,Manual,65.7 mpg,Diesel,2018,2.1L,"37,726 miles",Diesel,Manual,White,Hatchback,65.7 mpg
/ad/30872331,Mercedes-Benz A Class,A200d AMG Line 5dr Hatchback,"13,495",2017,Manual,62.8 mpg,Diesel,2017,2.1L,"39,000 miles",Diesel,Manual,Blue,Hatchback,62.8 mpg
/ad/30878940,Mercedes-Benz A Class,1.6 A160 Sport Edition 7G-DCT Euro 6 (s/s) 5dr £1385 WORTH OF OPTIONAL EXTRAS Hatchback,"15,000",2018,Automatic,49.6 mpg,Petrol,2018,1595cc,"40,520 miles",Petrol,Automatic,Silver,Hatchback,49.6 mpg
/ad/30818739,Mercedes-Benz A Class,A200d AMG Line 5dr Auto Hatchback,"14,695",2017,Semi-Auto,68.9 mpg,Diesel,2017,2.1L,"42,622 miles",Diesel,Semiauto,Blue,Hatchback,68.9 mpg
/ad/30560665,Mercedes-Benz GLA Class,GLA200 SE SUV,"14,979",2018,Manual,48.7 mpg,Petrol,2018,1600cc,"44,400 miles",Petrol,Manual,Red,SUV,48.7 mpg
/ad/29963398,Mercedes-Benz A Class,1.6 A 160 AMG LINE 5d 102 BHP Hatchback,"13,999",2018,Manual,51.4 mpg,Petrol,2018,1.6L,"45,225 miles",Petrol,Manual,Black,Hatchback,51.4 mpg
/ad/30917396,Mercedes-Benz B Class,2.1 B200d Sport (Executive) MPV 5dr Diesel 7G-DCT Euro 6 (s/s) (136 ps) MPV,"12,995",2017,Automatic,68.9 mpg,Diesel,2017,2143cc,"45,633 miles",Diesel,Automatic,Grey,MPV,68.9 mpg
/ad/30695852,Mercedes-Benz GLA Class,GLA 200d SE Executive 5dr SUV,"14,299",2017,Manual,67.3 mpg,Diesel,2017,2.1L,"47,723 miles",Diesel,Manual,White,SUV,67.3 mpg
/ad/30929966,Mercedes-Benz A Class,1.6 A180 AMG Line (Premium) Hatchback 5dr Petrol Manual Euro 6 (s/s) (122 ps) AMG body styling,"14,500",2018,Manual,49.6 mpg,Petrol,2018,1595cc,"47,827 miles",Petrol,Manual,Grey,Hatchback,49.6 mpg
/ad/30288160,Mercedes-Benz SLC,SLC,"14,920",2017,Manual,48.7 mpg,Petrol,2017,1.6L,"48,269 miles",Petrol,Manual,White,Convertible,48.7 mpg
/ad/30756978,Mercedes-Benz A Class,A180d AMG Line 5dr Hatchback,"12,599",2017,Manual,68.9 mpg,Diesel,2017,1.5L,"48,916 miles",Diesel,Manual,White,Hatchback,68.9 mpg
/ad/30948556,Mercedes-Benz CLA Class,CLA 180 Sport 4dr Saloon,"13,499",2017,Manual,51.4 mpg,Petrol,2017,1.6L,"49,600 miles",Petrol,Manual,Grey,Saloon,51.4 mpg
/ad/30835454,Mercedes-Benz CLA Class,CLA 200d AMG Line 4dr (ULEZ COMPLIANT ) Saloon,"13,990",2017,Manual,67.3 mpg,Diesel,2017,2143cc,"49,665 miles",Diesel,Manual,White,Saloon,67.3 mpg
/ad/29968479,Mercedes-Benz CLA Class,2.1 CLA 200 D WHITEART 4d 134 BHP Coupe,"14,995",2017,Semi-Auto,70.6 mpg,Diesel,2017,2.1L,"50,000 miles",Diesel,Semi Automatic,White,Coupe,70.6 mpg
/ad/30936822,Mercedes-Benz A Class,1.5 A180d Sport 7G-DCT Euro 6 (s/s) 5dr 17s,"15,000",2019,Automatic,65.7 mpg,Diesel,2019,1461cc,"51,659 miles",Diesel,Automatic,Grey,Hatchback,65.7 mpg
/ad/30922307,Mercedes-Benz A Class,2.1 A200d AMG Line (Premium) Hatchback 5dr Diesel 7G-DCT Euro 6 (s/s) (136 ps) AMG body styling,"14,100",2017,Automatic,68.9 mpg,Diesel,2017,2143cc,"54,900 miles",Diesel,Automatic,White,Hatchback,68.9 mpg
/ad/30892134,Mercedes-Benz GLA Class,2.1 GLA 200 D SPORT 5d 134 BHP Estate,"14,499",2018,Manual,67.3 mpg,Diesel,2018,2.1L,"55,287 miles",Diesel,Manual,Red,Estate,67.3 mpg
/ad/30757590,Mercedes-Benz A Class,1.5 A180d SE 7G-DCT Euro 6 (s/s) 5dr SVC HISTORY 1 OWNER SAT NAV Hatchback,"14,200",2018,Automatic,68.9 mpg,Diesel,2018,1461cc,"57,390 miles",Diesel,Automatic,White,Hatchback,68.9 mpg
/ad/30858241,Mercedes-Benz B Class,1.5 B 180 D AMG LINE EXECUTIVE 5DR AUTOMATIC 107 BHP MPV,"12,962",2017,Automatic,68.9 mpg,Diesel,2017,1.5L,"57,993 miles",Diesel,Automatic,Black,MPV,68.9 mpg
/ad/29195549,Mercedes-Benz A Class,1.5 A 180 D SPORT EXECUTIVE Hatchback,"15,000",2018,Automatic,65.7 mpg,Diesel,2018,1461cc,"68,395 miles",Diesel,Automatic,Black,Hatchback,65.7 mpg
/ad/30931437,Mercedes-Benz C Class,2.0 C350e 6.4kWh Sport G-Tronic+ Euro 6 (s/s) 4dr £4930 OF OPTIONAL EXTRAS!! Saloon,"15,000",2017,Automatic,134.5 mpg,Hybrid,2017,1991cc,"68,690 miles",Petrol Plug-in Hybrid,Automatic,Blue,Saloon,134.5 mpg
/ad/27664845,Mercedes-Benz A Class,1.5d (109ps) A180d AMG Line (s/s) Hatchback 5d 1461cc,"12,999",2017,Manual,Tax: n/a,2017,1461cc,"70,000 miles",Diesel,Manual,Blue,Hatchback,,
/ad/30871707,Mercedes-Benz C Class,2.0 C350e 6.4kWh Sport G-Tronic+ Euro 6 (s/s) 4dr £1,"14,800",2018,Automatic,134.5 mpg,Hybrid,2018,1991cc,"71,050 miles",Petrol Plug-in Hybrid,Automatic,Blue,Saloon,134.5 mpg
/ad/30841954,Mercedes-Benz A Class,2.1 A200d AMG Line (Premium) 7G-DCT Euro 6 (s/s) 5dr HEATED SEATS PARKING SENSORS Hatchback,"14,000",2018,Automatic,68.9 mpg,Diesel,2018,2143cc,"71,220 miles",Diesel,Automatic,Black,Hatchback,68.9 mpg
/ad/30708022,Mercedes-Benz A Class,1.5 A180d Sport 7G-DCT Euro 6 (s/s) 5dr NICE LOOKING CAR Hatchback,"14,750",2019,Automatic,65.7 mpg,Diesel,2019,1461cc,"72,000 miles",Diesel,Automatic,Silver,Hatchback,65.7 mpg
/ad/30338143,Mercedes-Benz A Class,A160 Sport Edition 5dr Auto Hatchback,"13,799",2018,Semi-Auto,49.6 mpg,Petrol,2018,1.6L,"73,419 miles",Petrol,Semiauto,Silver,Hatchback,49.6 mpg
/ad/30930326,Mercedes-Benz CLA Class,CLA 180 AMG Line 4dr Tip Auto Saloon,"14,995",2017,Semi-Auto,53.3 mpg,Petrol,2017,1.6L,"74,000 miles",Petrol,Semiauto,Grey,Saloon,53.3 mpg
/ad/29536676,Mercedes-Benz CLA Class,2.1 CLA220d Sport Shooting Brake 7G-DCT Euro 6 (s/s) 5dr NAVIGATION AND PANORAMIC ROOF Estate,"14,795",2017,Automatic,67.3 mpg,Diesel,2017,2143cc,"74,879 miles",Diesel,Automatic,Red,Estate,67.3 mpg
/ad/30930202,Mercedes-Benz A Class,1.5 A180d AMG Line 7G-DCT Euro 6 (s/s) 5dr SVC HISTORY REVERSE CAMERA! Hatchback,"12,500",2017,Automatic,74.3 mpg,Diesel,2017,1461cc,"74,930 miles",Diesel,Automatic,Black,Hatchback,74.3 mpg
/ad/30789266,Mercedes-Benz A Class,1.6 A200 AMG Line 7G-DCT Euro 6 (s/s) 5dr SERVICE HISTORY REVERSE CAMERA Hatchback,"12,800",2017,Automatic,52.3 mpg,Petrol,2017,1595cc,"78,830 miles",Petrol,Automatic,Red,Hatchback,52.3 mpg
