url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30330510,Mercedes-Benz CLK,3.2 CLK,"1,000",2000,Automatic,25.9 mpg,Petrol,2000,3199cc,"165,000 miles",Petrol,Automatic,SILVER,Convertible,25.9 mpg
/ad/30864683,Mercedes-Benz C Class,C220 CDI Avantgarde SE Saloon,"1,250",2005,Automatic,41.5 mpg,Diesel,2005,2100cc,"241,357 miles",Diesel,Automatic,Silver,Saloon,41.5 mpg
/ad/30955794,Mercedes-Benz C Class,C200 KOMPRESSOR AVANTGARDE 4-Door Saloon,"1,250",2001,Manual,29.7 mpg,Petrol,2001,1998cc,"109,327 miles",Petrol,Manual,Silver,Saloon,29.7 mpg
/ad/28255476,Mercedes-Benz CLK,2.0 CLK,"1,295",1999,Automatic,Tax: n/a,1999,1998cc,"90,000 miles",Petrol,Automatic,Silver,Coupe,,
/ad/30844281,Mercedes-Benz C Class,1.8 C180 Kompressor Avantgarde 5dr Estate,"1,350",2004,Manual,34.5 mpg,Petrol,2004,1796cc,"176,000 miles",Petrol,Manual,Silver,Estate,34.5 mpg
/ad/30476447,Mercedes-Benz A Class,2.0 A180 CDI Classic SE 5dr Hatchback,"1,395",2007,Manual,54.3 mpg,Diesel,2007,1992cc,"123,649 miles",Diesel,Manual,Black,Hatchback,54.3 mpg
/ad/30688735,Mercedes-Benz SLK,2.3 SLK,"1,490",1998,Automatic,32.1 mpg,Petrol,1998,2295cc,"84,000 miles",Petrol,Automatic,Grey,Convertible,32.1 mpg
/ad/30041996,Mercedes-Benz C Class,C200 K ELEGANCE SE Saloon,"1,495",2003,Automatic,32.5 mpg,Petrol,2003,1796cc,"89,000 miles",Petrol,Automatic,Gold,Saloon,32.5 mpg
/ad/28992356,Mercedes-Benz SLK,200 KOMPRESSOR Convertible,"1,495",2004,Automatic,32.1 mpg,Petrol,2004,1796cc,"97,098 miles",Petrol,Automatic,Silver,Convertible,32.1 mpg
/ad/30173803,Mercedes-Benz A Class,1.5 A150 Avantgarde SE 5dr 1.5 Other,"1,495",2008,Manual,45.6 mpg,Petrol,2008,1500cc,"104,000 miles",Petrol,Manual,Black,Other,45.6 mpg
/ad/24542756,Mercedes-Benz C Class,C220 CDI SE AUTOMATIC.,"1,495",2005,Automatic,Tax: n/a,2005,2148CC,"110,461 miles",Diesel,Automatic,BLUE,Hatchback,,
/ad/29964101,Mercedes-Benz B Class,B150 SE MPV,"1,495",2008,Manual,42.8 mpg,Petrol,2008,1498cc,"112,393 miles",Petrol,Manual,Silver,MPV,42.8 mpg
/ad/30957235,Mercedes-Benz A Class,A150 Classic SE 3dr Hatchback,"1,495",2009,Manual,45.6 mpg,Petrol,2009,1498cc,"109,000 miles",Petrol,Manual,BLUE,Hatchback,45.6 mpg
/ad/30190207,Mercedes-Benz C Class,1.8 C160 KOMPRESSOR SE 3d 121 BHP Coupe,"1,500",2006,Manual,35.3 mpg,Petrol,2006,1796cc,"157,800 miles",Petrol,Manual,BLACK,Coupe,35.3 mpg
/ad/30791360,Mercedes-Benz C Class,C180 KOMPRESSOR CLASSIC SE 5-Door Estate,"1,550",2005,Automatic,32.5 mpg,Petrol,2005,1796cc,"160,250 miles",Petrol,Automatic,Silver,Estate,32.5 mpg
/ad/29673009,Mercedes-Benz SLK,230 KOMPRESSOR Convertible,"1,595",2003,Automatic,30.0 mpg,Petrol,2003,2295cc,"97,000 miles",Petrol,Automatic,Silver,Convertible,30 mpg
/ad/30068680,Mercedes-Benz C Class,C180 K AVANTGARDE SE Saloon,"1,600",2004,Automatic,33.6 mpg,Petrol,2004,1796cc,103 miles,Petrol,Automatic,Silver,Saloon,33.6 mpg
/ad/30617116,Mercedes-Benz A Class,1.5 A150 Classic 5dr MOT TILL 21 SEPT 2024 Hatchback,"1,695",2008,Manual,45.6 mpg,Petrol,2008,1498cc,"100,000 miles",Petrol,Manual,Silver,Hatchback,45.6 mpg
/ad/30496012,Mercedes-Benz CLK,Coupe,"1,695",2002,Automatic,27.2 mpg,Petrol,2002,3200cc,"129,000 miles",Petrol,Automatic,Blue,Coupe,27.2 mpg
/ad/26958490,Mercedes-Benz C Class,C180 KOMPRESSOR CLASSIC SE Saloon,"1,695",2003,Automatic,33.6 mpg,Petrol,2003,1796cc,"130,000 miles",Petrol,Automatic,Black,Saloon,33.6 mpg
/ad/30932761,Mercedes-Benz CLK,3.2 CLK,"1,695",2001,Automatic,28.0 mpg,Petrol,2001,3199cc,"140,500 miles",Petrol,Automatic,Silver,Coupe,28 mpg
/ad/30166274,Mercedes-Benz C Class,C320 AVANTGARDE Saloon,"1,750",2001,Automatic,26.9 mpg,Petrol,2001,3199cc,"71,558 miles",Petrol,Automatic,Silver,Saloon,26.9 mpg
/ad/30539444,Mercedes-Benz C Class,C180 Classic 4dr Auto [5] Saloon,"1,750",1997,Automatic,30.4 mpg,Petrol,1997,1799cc,"98,000 miles",Petrol,Automatic,Blue,Saloon,30.4 mpg
/ad/30205869,Mercedes-Benz A Class,A180 BLUEEFFICIENCY AVANTGARDE SE Hatchback,"1,750",2010,Manual,43.5 mpg,Petrol,2010,1699cc,"191,032 miles",Petrol,Manual,Grey,Hatchback,43.5 mpg
/ad/30815957,Mercedes-Benz S Class,3.2 S320 CDI SE 4d 204 BHP Saloon,"1,750",2006,Automatic,35.8 mpg,Diesel,2006,3.2L,"230,000 miles",Diesel,Automatic,Blue,Saloon,35.8 mpg
/ad/30173787,Mercedes-Benz A Class,1.5 A150 Classic 5dr 1.5 Other,"1,775",2007,Manual,45.6 mpg,Petrol,2007,1500cc,"90,000 miles",Petrol,Manual,Silver,Other,45.6 mpg
/ad/30944229,Mercedes-Benz CLK,1.8 CLK,"1,879",2004,Automatic,31.7 mpg,Petrol,2004,1796cc,"167,700 miles",Petrol,Automatic,Black,Coupe,31.7 mpg
/ad/30813137,Mercedes-Benz A Class,2.0 A160 CDI Classic SE Hatchback,"1,895",2009,Manual,57.6 mpg,Diesel,2009,1992cc,"129,000 miles",Diesel,Manual,Grey,Hatchback,57.6 mpg
/ad/30613768,Mercedes-Benz C Class,2.1 C220 CDI SE Coupe,"1,950",2003,Manual,45.6 mpg,Diesel,2003,2148cc,"123,588 miles",Diesel,Manual,Red,Coupe,45.6 mpg
/ad/30932014,Mercedes-Benz CLK,DIESEL COUPE Coupe,"1,950",2005,Automatic,39.2 mpg,Diesel,2005,2685cc,"138,000 miles",Diesel,Automatic,Black,Coupe,39.2 mpg
/ad/29713916,Mercedes-Benz SLK,2.3 SLK,"1,995",1999,Other,32.1 mpg,Petrol,1999,0L,"100,000 miles",Petrol,Other,Silver,Convertible,32.1 mpg
/ad/28955057,Mercedes-Benz CLK,CLK,"1,995",2005,Automatic,28.0 mpg,Petrol,2005,2597cc,"102,797 miles",Petrol,Automatic,Black,Convertible,28 mpg
/ad/30827354,Mercedes-Benz C Class,1.8 Kompressor SE 2dr Coupe,"1,995",2005,Automatic,33.6 mpg,Petrol,2005,1.8L,"114,577 miles",Petrol,Automatic,Grey,Coupe,33.6 mpg
/ad/30915652,Mercedes-Benz C Class,2.1 C220 CDI SE Saloon,"1,995",2007,Automatic,42.2 mpg,Diesel,2007,2148cc,"146,000 miles",Diesel,Automatic,Silver,Saloon,42.2 mpg
/ad/30061161,Mercedes-Benz CLK,1.8 CLK,"1,995",2004,Automatic,31.7 mpg,Petrol,2004,1796cc,"156,000 miles",Petrol,Automatic,Blue,Coupe,31.7 mpg
/ad/30880574,Mercedes-Benz C Class,2.1 C220 CDI SE 2dr Coupe,"1,995",2003,Manual,46.3 mpg,Diesel,2003,2148cc,"165,000 miles",Diesel,Manual,Blue,Coupe,46.3 mpg
/ad/30958864,Mercedes-Benz A Class,1.7 A170 Classic SE 5dr Hatchback,"1,995",2006,Manual,42.8 mpg,Petrol,2006,1699cc,"87,000 miles",Petrol,Manual,Black,Hatchback,42.8 mpg
/ad/30789280,Mercedes-Benz A Class,1.5 A150 Classic 5dr +AA STANDARDS APPROVED DEALER+ Hatchback,"2,000",2007,Manual,45.6 mpg,Petrol,2007,1498cc,"83,622 miles",Petrol,Manual,Blue,Hatchback,45.6 mpg
/ad/30397809,Mercedes-Benz C Class,C180K SE Coupe,"2,000",2006,Manual,37.2 mpg,Petrol,2006,1796cc,"119,000 miles",Petrol,Manual,Black,Coupe,37.2 mpg
/ad/30247086,Mercedes-Benz E Class,E220 CDI Elegance 4dr Tip Auto Saloon,"2,000",2008,Automatic,42.2 mpg,Diesel,2008,2148cc,"157,000 miles",Diesel,Automatic,Silver,Saloon,42.2 mpg
/ad/30839118,Mercedes-Benz C Class,1.8 C200 Kompressor SE 2dr Coupe,"2,190",2006,Automatic,32.5 mpg,Petrol,2006,1796cc,"107,603 miles",Petrol,Automatic,Silver,Coupe,32.5 mpg
