url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30713690,Mercedes-Benz C Class,2.1 C220 CDI BLUEEFFICIENCY EXECUTIVE SE 4d 168 BHP Saloon,"8,000",2012,Automatic,58.9 mpg,Diesel,2012,2143cc,"49,000 miles",Diesel,Automatic,SILVER,Saloon,58.9 mpg
/ad/30803472,Mercedes-Benz B Class,1.6 B180 BLUEEFFICIENCY SPORT 5d 122 BHP MPV,"8,000",2014,Manual,45.6 mpg,Petrol,2014,1595cc,"70,313 miles",Petrol,Manual,RED,MPV,45.6 mpg
/ad/30437380,Mercedes-Benz C Class,2.1 C250 CDI BlueEfficiency AMG Sport Plus G-Tronic+ Euro 5 (s/s) 5dr Estate,"8,000",2012,Automatic,53.3 mpg,Diesel,2012,2143cc,"73,000 miles",Diesel,Automatic,Black,Estate,53.3 mpg
/ad/30445174,Mercedes-Benz A Class,1.5 A180 CDI BlueEfficiency SE Hatchback 5dr Diesel Manual (start/stop) Hatchback,"8,000",2013,Manual,74.3 mpg,Diesel,2013,1461cc,"79,452 miles",Diesel,Manual,BLACK,Hatchback,74.3 mpg
/ad/30713668,Mercedes-Benz A Class,1.5 A180 CDI BLUEEFFICIENCY SPORT 5d 109 BHP Hatchback,"8,000",2014,Manual,72.4 mpg,Diesel,2014,1461cc,"100,000 miles",Diesel,Manual,SILVER,Hatchback,72.4 mpg
/ad/30869337,Mercedes-Benz A Class,1.5 A 180 D SE EXECUTIVE 5DR Manual Hatchback,"8,000",2016,Manual,80.7 mpg,Diesel,2016,1461cc,"144,058 miles",Diesel,Manual,Red,Hatchback,80.7 mpg
/ad/30856530,Mercedes-Benz S Class,S350 L AUTO Saloon,"8,000",2008,Automatic,28.0 mpg,Petrol,2008,3498cc,"82,000 miles",Petrol,Automatic,BLACK,Saloon,28 mpg
/ad/30951355,Mercedes-Benz C Class,2.1 C250 CDI BlueEfficiency Sport Automatic Saloon,"8,000",2012,Automatic,56.5 mpg,Diesel,2012,2143cc,"72,000 miles",Diesel,Automatic,Grey,Saloon,56.5 mpg
/ad/30907439,Mercedes-Benz A Class,1.5 A180 CDI Sport 7G-DCT Euro 5 (s/s) 5dr Hatchback,"8,000",2014,Automatic,68.9 mpg,Diesel,2014,1461cc,"107,503 miles",Diesel,Automatic,Black,Hatchback,68.9 mpg
/ad/30955871,Mercedes-Benz S Class,3.0 S350 V6 BlueTEC G-Tronic+ Euro 6 4dr Saloon,"8,050",2011,Automatic,41.5 mpg,Diesel,2011,2987cc,"128,813 miles",Diesel,Automatic,Silver,Saloon,41.5 mpg
/ad/30570557,Mercedes-Benz C Class,2.1 C250 CDI BLUEEFFICIENCY AMG SPORT 2d 204 BHP Coupe,"8,150",2012,Automatic,53.3 mpg,Diesel,2012,2143cc,"53,500 miles",Diesel,Automatic,BLACK,Coupe,53.3 mpg
/ad/30656943,Mercedes-Benz C Class,C180 CGI BLUEEFFICIENCY SPORT Saloon,"8,190",2010,Automatic,37.7 mpg,Petrol,2010,1796cc,"68,000 miles",Petrol,Automatic,BLACK,Saloon,37.7 mpg
/ad/30713059,Mercedes-Benz A Class,1.5 A180 CDI BLUEEFFICIENCY SPORT 5d Hatchback,"8,195",2014,Manual,72.4 mpg,Diesel,2014,1461cc,"87,281 miles",Diesel,Manual,WHITE,Hatchback,72.4 mpg
/ad/30790258,Mercedes-Benz A Class,1.5 SE Hatchback 5dr Diesel Manual Euro 6 (s/s) (109 ps) Hatchback,"8,199",2016,Manual,80.7 mpg,Diesel,2016,1461cc,"124,400 miles",Diesel,Manual,Onyx Black,Hatchback,80.7 mpg
/ad/30852453,Mercedes-Benz A Class,1.5 A180 CDI BLUEEFFICIENCY SPORT 5d 109 BHP Hatchback,"8,200",2014,Manual,72.4 mpg,Diesel,2014,1461cc,"82,356 miles",Diesel,Manual,SILVER,Hatchback,72.4 mpg
/ad/30877284,Mercedes-Benz C Class,3.0 C350 CDI V6 BlueEfficiency AMG Sport Plus G-Tronic+ Euro 5 (s/s) 4dr Saloon,"8,229",2013,Automatic,47.1 mpg,Diesel,2013,2987cc,"103,500 miles",Diesel,Automatic,Silver,Saloon,47.1 mpg
/ad/27963615,Mercedes-Benz SLK,SLK,"8,249",2011,Automatic,43.5 mpg,Petrol,2011,1796cc,"85,000 miles",Petrol,Automatic,Silver,Convertible,43.5 mpg
/ad/29296532,Mercedes-Benz SLK,SLK,"8,249",2012,Automatic,56.5 mpg,Diesel,2012,2143cc,"85,000 miles",Diesel,Automatic,Silver,Convertible,56.5 mpg
/ad/30714167,Mercedes-Benz A Class,1.5 A180 CDI Sport Hatchback 5dr Diesel Manual (s/s) [NIGHT PACK] Hatchback,"8,250",2014,Manual,72.4 mpg,Diesel,2014,1461cc,"77,528 miles",Diesel,Manual,RED,Hatchback,72.4 mpg
/ad/30734915,Mercedes-Benz SLK,2.1 SLK,"8,250",2012,Automatic,56.5 mpg,Diesel,2012,2143cc,"82,945 miles",Diesel,Automatic,Silver,Convertible,56.5 mpg
/ad/30895125,Mercedes-Benz E Class,3.0 E350 CDI V6 BlueEfficiency Sport G-Tronic Euro 5 2dr Coupe,"8,250",2011,Automatic,41.5 mpg,Diesel,2011,2987cc,"95,867 miles",Diesel,Automatic,Black,Coupe,41.5 mpg
/ad/30238191,Mercedes-Benz A Class,Hatchback,"8,250",2014,Manual,72.4 mpg,Diesel,2014,1461cc,"110,000 miles",Diesel,Manual,White,Hatchback,72.4 mpg
/ad/30024267,Mercedes-Benz CL Class,COUPE Coupe,"8,250",2007,Automatic,23.3 mpg,Petrol,2007,5462cc,"121,000 miles",Petrol,Automatic,Black,Coupe,23.3 mpg
/ad/30898483,Mercedes-Benz A Class,1.5 A180 CDI BLUEEFFICIENCY AMG SPORT 5DR Manual Hatchback,"8,288",2013,Manual,70.6 mpg,Diesel,2013,1461cc,"87,000 miles",Diesel,Manual,White,Hatchback,70.6 mpg
/ad/30873865,Mercedes-Benz C Class,2.1 C220 CDI AMG Sport Plus G-Tronic+ Euro 5 (s/s) 4dr Saloon,"8,290",2013,Automatic,54.3 mpg,Diesel,2013,2143cc,"83,000 miles",Diesel,Automatic,Silver,Saloon,54.3 mpg
