url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30139312,Mercedes-Benz B Class,1.8 B180 CDI BLUEEFFICIENCY SE 5d 109 BHP MPV,"1,099,900",2014,Automatic,64.2 mpg,Diesel,2014,1796cc,"18,700 miles",Diesel,Automatic,GREY,MPV,64.2 mpg
/ad/29726901,Mercedes-Benz SLR Mclaren,ROADSTER. BELIEVED TO BE 1 OF 9 UK SUPPLIED CARS. BOSE. 19'' TURBINE WHEELS. Convertible,"379,995",2007,Automatic,19.5 mpg,Petrol,2007,5439cc,"12,038 miles",Petrol,Automatic,Silver,Convertible,19.5 mpg
/ad/30869662,Mercedes-Benz G Class,BRABUS WIDESTAR 800 HP 4.0 G63 V8 BiTurbo AMG SUV,"359,995",2023,Automatic,21.4 mpg,Petrol,2023,3982cc,100 miles,Petrol,Automatic,Black,SUV,21.4 mpg
/ad/30738632,Mercedes-Benz G Class,BRABUS WIDESTAR 700HP 4.0 G63 V8 BiTurbo AMG SUV,"329,995",2023,Automatic,21.4 mpg,Petrol,2023,3982cc,80 miles,Petrol,Automatic,Black,SUV,21.4 mpg
/ad/28457300,Mercedes-Benz SLR Mclaren,LOW MILEAGE. A UNIQUE MKB COLLECTABLE EXAMPLE. 19'' TURBINE ALLOY WHEELS Coupe,"279,995",2005,Automatic,19.1 mpg,Petrol,2005,5439cc,"4,242 miles",Petrol,Automatic,Silver,Coupe,19.1 mpg
/ad/30855749,Mercedes-Benz GLS Class,BRABUS 800 HP 4.0 GLS63h V8 BiTurbo AMG Night Edition (Executive) Other,"249,995",2023,Automatic,21.9 mpg,Other,2023,3982cc,100 miles,Other,Automatic,Black,Other,21.9 mpg
/ad/29947639,Mercedes-Benz SL Class,4.0 AMG SL 63 4MATICPLUS PREMIUM PLUS 2d 577 BHP Convertible,"239,999",2023,Automatic,21.9 mpg,Petrol,2023,3982cc,350 miles,Petrol,Automatic,BLACK,Convertible,21.9 mpg
/ad/30869655,Mercedes-Benz GLE Class,BRABUS 700 HP 4.0 GLE63 V8 BiTurbo AMG S Coupe Coupe,"229,995",2023,Automatic,22.8 mpg,Other,2023,3982cc,100 miles,Other,Automatic,Black,Coupe,22.8 mpg
/ad/29100498,Mercedes-Benz G Class,4.0 AMG G 63 4MATIC 5d 577 BHP Estate,"220,000",2022,Automatic,21.4 mpg,Petrol,2022,3982cc,"6,450 miles",Petrol,Automatic,GREEN,Estate,21.4 mpg
/ad/30625641,Mercedes-Benz G Class,4.0 AMG G 63 4MATIC 5d 577 BHP Estate,"220,000",2021,Automatic,21.4 mpg,Petrol,2021,3982cc,"10,400 miles",Petrol,Automatic,BLACK,Estate,21.4 mpg
