url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30137585,Mitsubishi Grandis,2.0 ELEGANCE DI-D 5d 135 BHP MPV,695,2005,Manual,42.8 mpg,Diesel,2005,1968cc,"91,245 miles",Diesel,Manual,SILVER,MPV,42.8 mpg
/ad/30963379,Mitsubishi Shogun,2.5 TD Trojan SUV,995,2006,Manual,26.9 mpg,Diesel,2006,2477cc,Diesel,Manual,Grey,SUV,26.9 mpg,
/ad/30173754,Mitsubishi Colt,1.1 CZ1 3dr 1.1 Other,"1,475",2008,Manual,51.4 mpg,Petrol,2008,1100cc,"73,000 miles",Petrol,Manual,Black,Other,51.4 mpg
/ad/30911780,Mitsubishi Colt,DI-D EQUIPPE Hatchback,"1,475",2005,Manual,61.4 mpg,Diesel,2005,1493cc,"128,000 miles",Diesel,Manual,Blue,Hatchback,61.4 mpg
/ad/30431432,Mitsubishi Colt,Hatchback,"1,499",2008,Manual,51.4 mpg,Petrol,2008,1124cc,"127,000 miles",Petrol,Manual,Black,Hatchback,51.4 mpg
/ad/30839114,Mitsubishi Space,Star Hatchback,"1,500",2004,Manual,39.8 mpg,Petrol,2004,1584cc,"49,618 miles",Petrol,Manual,Silver,Hatchback,39.8 mpg
/ad/30716870,Mitsubishi Colt,1.1 CZ1 3d 75 BHP 12 MONTHS PARTS & LABOUR WARRANTY INCLUDED Hatchback,"1,695",2007,Manual,51.4 mpg,Petrol,2007,1124cc,"75,747 miles",Petrol,Manual,RED,Hatchback,51.4 mpg
/ad/29996550,Mitsubishi Colt,1.1 CZ1 5dr Hatchback,"1,950",2008,Manual,51.4 mpg,Petrol,2008,1124cc,"111,000 miles",Petrol,Manual,Blue,Hatchback,51.4 mpg
/ad/28626458,Mitsubishi Colt,CZC 2-Door Convertible,"1,995",2008,Manual,42.8 mpg,Petrol,2008,1499cc,"69,000 miles",Petrol,Manual,Orange,Convertible,42.8 mpg
/ad/30614318,Mitsubishi Colt,1.1 CZ1 3d 75 BHP Hatchback,"1,995",2008,Manual,51.4 mpg,Petrol,2008,1124cc,"69,953 miles",Petrol,Manual,BLACK,Hatchback,51.4 mpg
/ad/30872441,Mitsubishi ASX,DI-D 3 Hatchback,"1,995",2010,Manual,51.4 mpg,Diesel,2010,1798cc,"94,000 miles",Diesel,Manual,Grey,Hatchback,51.4 mpg
/ad/29087228,Mitsubishi Colt,1.5 CZT TURBO SPORT 3d 148 BHP Hatchback,"1,995",2006,Manual,41.5 mpg,Petrol,2006,1468cc,"162,121 miles",Petrol,Manual,GREY,Hatchback,41.5 mpg
