url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30015433,Nissan Juke,1.0 DiG-T N-Connecta 5dr SUV,"14,975",2019,Manual,47.9 mpg,Petrol,2019,1L,"3,065 miles",Petrol,Manual,Silver,SUV,47.9 mpg
/ad/30854249,Nissan Micra,1.0 IG-T N-SPORT 5d 99 BHP Hatchback,"13,495",2020,Manual,47.9 mpg,Petrol,2020,1L,"4,000 miles",Petrol,Manual,Black,Hatchback,47.9 mpg
/ad/30624914,Nissan Leaf,110kW Acenta 39kWh 5dr Auto Hatchback,"14,620",2022,Automatic,Tax: £0,2022,"4,337 miles",Electric,Automatic,Red,Hatchback,,,
/ad/30819852,Nissan Juke,1.2 N-CONNECTA DIG-T 5d 115 BHP Hatchback,"10,995",2017,Manual,49.6 mpg,Petrol,2017,1.2L,"5,491 miles",Petrol,Manual,White,Hatchback,49.6 mpg
/ad/30863423,Nissan Juke,1.0 DiG-T Acenta 5dr SUV,"14,914",2020,Manual,47.9 mpg,Petrol,2020,1L,"5,646 miles",Petrol,Manual,Red,SUV,47.9 mpg
/ad/30459586,Nissan Juke,1.6 [112] Tekna 5dr CVT [Bose] SUV,"14,409",2019,Automatic,34.9 mpg,Petrol,2019,1.6L,"5,779 miles",Petrol,Automatic,Red,SUV,34.9 mpg
/ad/30727240,Nissan Micra,a 0.9 IG-T Acenta Limited Edition 5dr Hatchback,"11,995",2019,Manual,51.4 mpg,Petrol,2019,0.9L,"6,045 miles",Petrol,Manual,Black,Hatchback,51.4 mpg
/ad/30802898,Nissan Juke,1.0 DiG-T 114 N-Connecta 5dr SUV,"14,999",2020,Manual,47.9 mpg,Petrol,2020,1L,"6,100 miles",Petrol,Manual,Red,SUV,47.9 mpg
/ad/30688198,Nissan Micra,Hatchback,"12,495",2021,Manual,51.4 mpg,Petrol,2021,999cc,"6,472 miles",Petrol,Manual,Red,Hatchback,51.4 mpg
/ad/30841031,Nissan Juke,1.0 DiG-T N-Connecta 5dr SUV,"14,995",2020,Manual,47.9 mpg,Petrol,2020,1L,"6,616 miles",Petrol,Manual,Silver,SUV,47.9 mpg
/ad/30863423,Nissan Juke,1.0 DiG-T Acenta 5dr SUV,"14,914",2020,Manual,47.9 mpg,Petrol,2020,1L,"5,646 miles",Petrol,Manual,Red,SUV,47.9 mpg
/ad/30459586,Nissan Juke,1.6 [112] Tekna 5dr CVT [Bose] SUV,"14,409",2019,Automatic,34.9 mpg,Petrol,2019,1.6L,"5,779 miles",Petrol,Automatic,Red,SUV,34.9 mpg
