url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30814111,Nissan Qashqai,i 1.5 TEKNA DCI 5d 110 BHP Hatchback,750,2012,Manual,54.3 mpg,Diesel,2012,1461cc,"166,000 miles",Diesel,Manual,GREY,Hatchback,54.3 mpg
/ad/30834894,Nissan Qashqai,i 2.0 ACENTA 5d 140 BHP Hatchback,995,2008,Manual,34.5 mpg,Petrol,2008,1997cc,"151,500 miles",Petrol,Manual,BLACK,Hatchback,34.5 mpg
/ad/24331692,Nissan Micra,1.2 (79bhp) S Hatchback 3d 1240cc,"1,000",2004,Manual,Tax: n/a,2004,1240 cc,"1,011 miles",Petrol,Manual,Gold,Hatchback,,
/ad/30121871,Nissan Primera,1.8 Activ Hatchback 5d 1769cc,"1,000",2001,Manual,Tax: n/a,2001,1769cc,"48,458 miles",Petrol,Manual,Blue,Hatchback,,
/ad/24682237,Nissan Almera,1.8 SE Hatchback 5d 1769cc,"1,000",2004,Manual,Tax: n/a,2004,1769 cc,"79,918 miles",Petrol,Manual,Blue,Hatchback,,
/ad/30456170,Nissan Almera,a 1.5 SE 5dr 1.5 Other,"1,000",2004,Manual,42.8 mpg,Petrol,2004,1500cc,"100,000 miles",Petrol,Manual,Blue,Other,42.8 mpg
/ad/30607405,Nissan Almera,Tino Se Tino 1.8 Other,"1,000",2005,Manual,36.7 mpg,Petrol,2005,1800cc,"116,000 miles",Petrol,Manual,Silver,Other,36.7 mpg
/ad/30367477,Nissan X Trail,2.2dCi Sport Station Wagon 5d 2184cc,"1,200",2004,Manual,Tax: n/a,2004,2184cc,"130,460 miles",Diesel,Manual,Silver,4X4,,
/ad/30877140,Nissan Micra,a 1.2 N-TEC 5d 80 BHP Hatchback,"1,200",2010,Manual,47.9 mpg,Petrol,2010,1240cc,"194,000 miles",Petrol,Manual,Silver,Hatchback,47.9 mpg
/ad/30894850,Nissan Primera,a SLX 16V Hatchback,"1,295",1998,Automatic,32.5 mpg,Petrol,1998,1998cc,"58,000 miles",Petrol,Automatic,Red,Hatchback,32.5 mpg
/ad/30416318,Nissan Primera,a 2.0 16v GX 5dr (a/c) Hatchback,"1,295",1997,Automatic,32.5 mpg,Petrol,1997,1998cc,"86,000 miles",Petrol,Automatic,Red,Hatchback,32.5 mpg
/ad/30812945,Nissan Juke,1.5 dCi 8v Tekna Euro 5 (s/s) 5dr Other,"1,295",2012,Manual,57.6 mpg,Diesel,2012,1461cc,"95,000 miles",Diesel,Manual,White,Other,57.6 mpg
/ad/30468561,Nissan Micra,Hatchback,"1,295",2007,Manual,60.1 mpg,Diesel,2007,1461cc,"99,000 miles",Diesel,Manual,Silver,Hatchback,60.1 mpg
/ad/30591680,Nissan Pixo,Hatchback,"1,295",2011,Manual,64.2 mpg,Petrol,2011,996cc,"105,489 miles",Petrol,Manual,Silver,Hatchback,64.2 mpg
/ad/30879253,Nissan Note,1.4 16v SE Hatchback 5dr Petrol Manual (150 g/km 87 bhp) Hatchback,"1,295",2006,Manual,44.8 mpg,Petrol,2006,1.39L,"145,000 miles",Petrol,Manual,Grey,Hatchback,44.8 mpg
/ad/30387216,Nissan Note,1.5 dCi Visia Euro 4 5dr Hatchback,"1,350",2009,Manual,62.8 mpg,Diesel,2009,1.46L,"66,697 miles",Diesel,Manual,Red,Hatchback,62.8 mpg
/ad/30869741,Nissan Micra,a 1.4 Sport+ 3dr Hatchback,"1,394",2006,Manual,44.8 mpg,Petrol,2006,1386cc,"110,839 miles",Petrol,Manual,Red,Hatchback,44.8 mpg
/ad/30852319,Nissan Almera,a 1.8 Sport 3dr Hatchback,"1,395",2000,Manual,37.7 mpg,Petrol,2000,1769cc,"45,000 miles",Petrol,Manual,Red,Hatchback,37.7 mpg
/ad/30831654,Nissan Qashqai,i 1.5 dCi Visia 2WD Euro 4 5dr SUV,"1,395",2010,Manual,55.3 mpg,Diesel,2010,1461cc,"185,000 miles",Diesel,Manual,Red,SUV,55.3 mpg
/ad/30821899,Nissan Micra,a 1.2 Sport+ 3dr Hatchback,"1,495",2006,Manual,47.9 mpg,Petrol,2006,1240cc,"145,000 miles",Petrol,Manual,Red,Hatchback,47.9 mpg
/ad/30089127,Nissan Qashqai,i 1.6 Tekna 2WD 5dr Hatchback,"1,495",2007,Manual,42.2 mpg,Petrol,2007,1598cc,"147,000 miles",Petrol,Manual,Black,Hatchback,42.2 mpg
/ad/28242364,Nissan X Trail,Estate,"1,495",2005,Manual,39.2 mpg,Diesel,2005,2184cc,"162,082 miles",Diesel,Manual,Silver,Estate,39.2 mpg
/ad/29562779,Nissan Sunny,1.6L GSX 4d AUTO 69 BHP Saloon,"1,500",1991,Automatic,Tax: £325,1991,1.6L,"68,000 miles",Petrol,Automatic,Saloon,,,
/ad/29500251,Nissan Micra,a 1.2 16v E Hatchback 1.2 Other,"1,500",2006,Manual,47.9 mpg,Petrol,2006,1200cc,"90,550 miles",Petrol,Manual,Silver,Other,47.9 mpg
/ad/30921080,Nissan Micra,a 1.2 E 3dr Hatchback,"1,500",2005,Manual,47.9 mpg,Petrol,2005,1240cc,"93,000 miles",Petrol,Manual,Red,Hatchback,47.9 mpg
/ad/29449029,Nissan Note,e 1.4 16V Acenta R Euro 4 5dr Hatchback,"1,500",2007,Manual,44.8 mpg,Petrol,2007,1386cc,"98,200 miles",Petrol,Manual,Black,Hatchback,44.8 mpg
/ad/30262348,Nissan Qashqai,Hatchback,"1,595",2009,Manual,54.3 mpg,Diesel,2009,1461cc,"160,000 miles",Diesel,Manual,Silver,Hatchback,54.3 mpg
/ad/30955983,Nissan Pixo,N-TEC 1 Other,"1,595",2009,Manual,64.2 mpg,Other,2009,1000cc,"74,963 miles",Other,Manual,RED,Other,64.2 mpg
/ad/30959999,Nissan Micra,Hatchback,"1,650",,Other,Tax: n/a,1.2L,"57,000 miles",Petrol,Other,Silver,Hatchback,,,
/ad/30719092,Nissan Micra,a 1.2 16v Spirita 3dr Hatchback,"1,690",2007,Manual,47.9 mpg,Petrol,2007,1240cc,"82,000 miles",Petrol,Manual,Silver,Hatchback,47.9 mpg
/ad/30404575,Nissan Note,e 1.6 16V Tekna Euro 4 5dr Hatchback,"1,690",2008,Manual,55.4 mpg,Petrol,2008,1598cc,"123,000 miles",Petrol,Manual,Black,Hatchback,55.4 mpg
/ad/29713904,Nissan Micra,a 1.6 TEKNA CC 2d 109 BHP Convertible,"1,695",2008,Manual,42.2 mpg,Petrol,2008,"70,000 miles",Petrol,Manual,Red,Convertible,42.2 mpg,
/ad/29856971,Nissan Micra,1.2 (79bhp) Visia Hatchback 3d 1240cc,"1,695",2009,Manual,Tax: n/a,2009,1240cc,"88,000 miles",Petrol,Manual,Blue,Hatchback,,
/ad/30718363,Nissan Note,e 1.4 16V Acenta Euro 4 5dr Hatchback,"1,750",2008,Manual,44.8 mpg,Petrol,2008,1386cc,"98,000 miles",Petrol,Manual,Silver,Hatchback,44.8 mpg
/ad/30685540,Nissan Qashqai,1.6 n-tec 2WD 5dr Hatchback,"1,750",2009,Manual,42.2 mpg,Petrol,2009,1.6L,"129,000 miles",Petrol,Manual,Black,Hatchback,42.2 mpg
/ad/30261514,Nissan X Trail,2.2 dCi SVE 5dr SUV,"1,795",2005,Manual,39.2 mpg,Diesel,2005,2184cc,"121,000 miles",Diesel,Manual,Silver,SUV,39.2 mpg
