url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/28949457,Nissan GT-R,3.8 V6 Recaro Auto 4WD Coupe,"94,990",2020,Automatic,20.2 mpg,Petrol,2020,3799cc,"25,000 miles",Petrol,Automatic,Blue,Coupe,20.2 mpg
/ad/30544539,Nissan GT-R,3.8 RECARO 2d 562 BHP Coupe,"91,990",2019,Automatic,23.9 mpg,Petrol,2019,3799cc,"19,200 miles",Petrol,Automatic,WHITE,Coupe,23.9 mpg
/ad/30619084,Nissan GT-R,3.8 PRESTIGE 2d 562 BHP Coupe,"89,990",2019,Automatic,20.2 mpg,Petrol,2019,3799cc,"24,500 miles",Petrol,Automatic,BLACK,Coupe,20.2 mpg
/ad/30828936,Nissan GT-R,3.8 Recaro 2dr Auto Coupe,"88,990",2020,Automatic,20.2 mpg,Petrol,2020,3.8L,"18,594 miles",Petrol,Automatic,Black,Coupe,20.2 mpg
/ad/30646752,Nissan GT-R,3.8 V6 Prestige Auto 4WD Euro 6 2dr Full Litchfield Service Histor Coupe,"87,395",2020,Automatic,20.2 mpg,Petrol,2020,3799cc,"15,000 miles",Petrol,Automatic,Gold,Coupe,20.2 mpg
/ad/28898638,Nissan GT-R,RECARO stage 4.25 by Litchfields 667 BHP HPI CLEAR PX Coupe,"84,995",2017,Automatic,23.9 mpg,Petrol,2017,3799cc,"15,312 miles",Petrol,Automatic,Grey,Coupe,23.9 mpg
/ad/30581594,Nissan GT-R,3.8 V6 2d 550 BHP Coupe,"81,599",2015,Automatic,23.9 mpg,Petrol,2015,3799cc,"24,800 miles",Petrol,Automatic,WHITE,Coupe,23.9 mpg
/ad/30647773,Nissan GT-R,3.8 V6 Recaro Auto 4WD Euro 6 2dr Coupe,"75,999",2016,Automatic,23.9 mpg,Petrol,2016,3799cc,"26,250 miles",Petrol,Automatic,Black,Coupe,23.9 mpg
/ad/30410992,Nissan GT-R,3.8 V6 2d 680 BHP Coupe,"69,950",2016,Automatic,23.9 mpg,Petrol,2016,3799cc,"25,000 miles",Petrol,Automatic,WHITE,Coupe,23.9 mpg
/ad/30754529,Nissan GT-R,3.8 V6 Premium Black Auto 4WD Euro 5 2dr Coupe,"64,999",2015,Automatic,23.9 mpg,Petrol,2015,3799cc,"33,900 miles",Petrol,Automatic,Black,Coupe,23.9 mpg
/ad/26996801,Nissan GT-R,3.8 BLACK EDITION 2d AUTO 900 BHP Coupe,"59,999",2010,Automatic,Tax: n/a,2010,3799cc,"46,000 miles",Petrol,Automatic,SILVER,Coupe,,
/ad/27021618,Nissan GT-R,3.8 Premium 2dr Auto Coupe,"59,995",2009,Automatic,22.8 mpg,Petrol,2009,3800cc,"86,000 miles",Petrol,Automatic,Silver,Coupe,22.8 mpg
/ad/30288011,Nissan GT-R,PREMIUM EDITION Coupe,"54,890",2011,Automatic,23.5 mpg,Petrol,2011,3799cc,"32,498 miles",Petrol,Automatic,Dennison Yellow Satin Wrap,Coupe,23.5 mpg
/ad/30929610,Nissan Ariya,225kW Evolve 87kWh 22kWCh 5dr e-4ORCE Auto SUV,"53,999",2023,Automatic,Tax: £0,2023,"1,709 miles",Electric,Automatic,Other,SUV,,,
/ad/29101081,Nissan GT-R,3.8 PREMIUM EDITION 2d 542 BHP CAT S REAR BUMPER ONLY! Coupe,"53,999",2012,Automatic,11.8 mpg,Petrol,2012,3799cc,"44,566 miles",Petrol,Automatic,BLACK,Coupe,11.8 mpg
/ad/30882839,Nissan GT-R,PREMIUM EDITION Coupe,"51,950",2012,Semi-Auto,11.8 mpg,Petrol,2012,3.8L,"32,000 miles",Petrol,Semi-Automatic,METALLIC GREY,Coupe,11.8 mpg
/ad/30820705,Nissan GT-R,PREMIUM EDITION Coupe,"48,980",2009,Automatic,Tax: £695,2009,3799cc,"10,547 miles",Petrol,Automatic,GUN METALLIC MET,Coupe,,
/ad/30209716,Nissan Ariya,Evolve SUV,"48,495",,Automatic,Tax: £0,574 miles,Electric,Automatic,White,SUV,,,,
/ad/29890983,Nissan GT-R,Coupe,"48,000",2014,Automatic,23.9 mpg,Petrol,2014,3799cc,"53,600 miles",Petrol,Automatic,White,Coupe,23.9 mpg
/ad/30930390,Nissan Navara,a Double Cab Pick Up Tekna 2.3dCi 190 TT 4WD Pick Up,"47,800",2020,Manual,32.5 mpg,Diesel,2020,2.3L,"28,459 miles",Diesel,Manual,Grey,Pick Up,32.5 mpg
/ad/30937811,Nissan X Trail,Tekna Plus SUV,"46,995",,Automatic,42.2 mpg,Petrol,1497cc,Petrol,Automatic,SUV,42.2 mpg,,,
/ad/30627426,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna 5dr Auto SUV,"44,995",2023,Semi-Auto,43.5 mpg,Hybrid,2023,1.5L,295 miles,Hybrid,Semiauto,Blue,SUV,43.5 mpg
/ad/30958885,Nissan GT-R,3.8 V6 Black Edition Auto 4WD Euro 4 2dr Coupe,"44,995",2009,Automatic,22.8 mpg,Petrol,2009,3799cc,"33,521 miles",Petrol,Automatic,Black,Coupe,22.8 mpg
/ad/30624379,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna+ 5dr [7 Seat] Auto SUV,"44,990",2023,Semi-Auto,42.2 mpg,Hybrid,2023,1.5L,"5,001 miles",Hybrid,Semiauto,Grey,SUV,42.2 mpg
/ad/30918092,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna 5dr [7 Seat] Auto SUV,"43,999",2023,Semi-Auto,42.8 mpg,Hybrid,2023,1.5L,"4,999 miles",Hybrid,Semiauto,Grey,SUV,42.8 mpg
/ad/30624377,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna+ 5dr Auto SUV,"43,990",2023,Semi-Auto,42.8 mpg,Hybrid,2023,1.5L,"5,001 miles",Hybrid,Semiauto,Black,SUV,42.8 mpg
/ad/30390465,Nissan GT-R,Coupe,"43,990",2010,Automatic,22.8 mpg,Petrol,2010,3799cc,"62,800 miles",Petrol,Automatic,Black,Coupe,22.8 mpg
/ad/30961791,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna+ 5dr Auto SUV,"43,914",2023,Semi-Auto,42.8 mpg,Hybrid,2023,1.5L,"9,042 miles",Hybrid,Semiauto,Black,SUV,42.8 mpg
/ad/30593888,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna 5dr Auto SUV,"43,299",2023,Semi-Auto,43.5 mpg,Hybrid,2023,1.5L,"3,000 miles",Hybrid,Semiauto,Grey,SUV,43.5 mpg
/ad/30748725,Nissan X Trail,l 1.5 E-Power 204 Tekna+ 5dr Xtronic SUV,"43,099",2023,Semi-Auto,45.6 mpg,Hybrid,2023,1.5L,10 miles,Hybrid,Semiauto,Silver,SUV,45.6 mpg
/ad/30612309,Nissan X Trail,l 1.5 E-Power E-4orce 213 N-Connecta 5dr Auto SUV,"42,999",2023,Semi-Auto,44.8 mpg,Hybrid,2023,1.5L,"2,000 miles",Hybrid,Semiauto,Grey,SUV,44.8 mpg
/ad/30237082,Nissan X Trail,Tekna SUV,"42,995",,Automatic,43.5 mpg,Hybrid,1497cc,387 miles,Hybrid Electric,Automatic,SUV,43.5 mpg,,
/ad/30505669,Nissan Ariya,225kW Evolve 87kWh 22kWCh 5dr e-4ORCE Auto SUV,"42,990",2023,Automatic,Tax: £0,2023,"8,274 miles",Electric,Automatic,Other,SUV,,,
/ad/30612280,Nissan X Trail,l 1.5 E-Power 204 Tekna+ 5dr Xtronic SUV,"42,007",2023,Semi-Auto,45.6 mpg,Hybrid,2023,1.5L,"6,196 miles",Hybrid,Semiauto,Grey,SUV,45.6 mpg
/ad/30631273,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna 5dr Auto SUV,"41,999",2023,Semi-Auto,43.5 mpg,Hybrid,2023,1.5L,"5,200 miles",Hybrid,Semiauto,Blue,SUV,43.5 mpg
/ad/30857402,Nissan X Trail,l 1.5 E-Power 204 Tekna 5dr Xtronic SUV,"41,965",2023,Semi-Auto,47.1 mpg,Hybrid,2023,1.5L,31 miles,Hybrid,Semiauto,Grey,SUV,47.1 mpg
/ad/30663528,Nissan X Trail,l 1.5 MHEV 163 Tekna+ 5dr [7 Seat] Xtronic SUV,"41,799",2023,Semi-Auto,37.2 mpg,Hybrid,2023,1.5L,"1,000 miles",Hybrid,Semiauto,Other,SUV,37.2 mpg
/ad/30362382,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna 5dr [7 Seat] Auto SUV,"41,750",2023,Semi-Auto,42.8 mpg,Hybrid,2023,1.5L,"6,653 miles",Hybrid,Semiauto,Blue,SUV,42.8 mpg
/ad/30274916,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna 5dr Auto SUV,"41,000",2022,Semi-Auto,43.5 mpg,Hybrid,2022,1.5L,"3,840 miles",Hybrid,Semiauto,Blue,SUV,43.5 mpg
/ad/30558974,Nissan ARIYA,87kWh Evolve Auto 5dr 22kW Charger 20s,"41,000",2022,Automatic,Tax: £0,2022,"8,000 miles",Electric,Automatic,Grey,SUV,,,
/ad/30822645,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna 5dr [7 Seat] Auto SUV,"40,000",2023,Semi-Auto,42.8 mpg,Hybrid,2023,1.5L,"9,000 miles",Hybrid,Semiauto,Blue,SUV,42.8 mpg
/ad/30249189,Nissan X Trail,1.5 E-Power E-4orce 213 Tekna 5dr [7 Seat] Auto SUV,"39,999",2023,Automatic,42.8 mpg,Other,2023,1500cc,"6,000 miles",Other,Automatic,Grey,SUV,42.8 mpg
/ad/30608363,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna 5dr [7 Seat] Auto SUV,"39,990",2022,Semi-Auto,42.8 mpg,Hybrid,2022,1.5L,"4,281 miles",Hybrid,Semiauto,Grey,SUV,42.8 mpg
/ad/30390464,Nissan GT-R,Coupe,"39,990",2009,Automatic,22.8 mpg,Petrol,2009,3799cc,"68,000 miles",Petrol,Automatic,Black,Coupe,22.8 mpg
/ad/30883901,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna 5dr Auto SUV,"39,975",2023,Semi-Auto,43.5 mpg,Hybrid,2023,1.5L,"4,936 miles",Hybrid,Semiauto,Silver,SUV,43.5 mpg
/ad/30617694,Nissan X Trail,l 1.5 E-Power 204 Tekna 5dr Xtronic SUV,"39,975",2023,Semi-Auto,47.1 mpg,Hybrid,2023,1.5L,"3,856 miles",Hybrid,Semiauto,Grey,SUV,47.1 mpg
/ad/30680909,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna 5dr [7 Seat] Auto SUV,"39,719",2023,Semi-Auto,42.8 mpg,Hybrid,2023,1.5L,"4,776 miles",Hybrid,Semiauto,Blue,SUV,42.8 mpg
/ad/30905013,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna 5dr Auto SUV,"39,490",2023,Semi-Auto,43.5 mpg,Hybrid,2023,1.5L,"4,005 miles",Hybrid,Semiauto,Grey,SUV,43.5 mpg
/ad/30328068,Nissan GT-R,3.8 BLACK EDITION 2d 479 BHP Coupe,"38,990",2009,Automatic,22.8 mpg,Petrol,2009,3799cc,"61,000 miles",Petrol,Automatic,BLACK,Coupe,22.8 mpg
/ad/29984671,Nissan X Trail,l 1.5 163 MHEV DIG-T TEKNA PLUS XTRONIC*QUILTED PREMIUM LEATHER,"38,990",2023,Other,37.2 mpg,Other,2023,1497cc,"5,000 miles",Other,Other,Unknown,Hatchback,37.2 mpg
/ad/30889781,Nissan ARIYA,Ariya 178kW Evolve 87kWh 22kWCh 5dr Auto Hatchback Hatchback,"38,989",2022,Automatic,Tax: £0,2022,"10,019 miles",Electric,Automatic,GREY,Hatchback,,,
/ad/30661898,Nissan X Trail,l 1.5 E-Power 204 Tekna 5dr Xtronic SUV,"38,895",2023,Semi-Auto,47.1 mpg,Hybrid,2023,1.5L,659 miles,Hybrid,Semiauto,Grey,SUV,47.1 mpg
/ad/30837731,Nissan GT-R,3.8 V6 Black Edition Auto 4WD Euro 4 2dr Coupe,"38,895",2009,Automatic,22.8 mpg,Petrol,2009,3799cc,"69,000 miles",Petrol,Auto,Black,Coupe,22.8 mpg
/ad/30794690,Nissan X Trail,l 1.5 E-Power E-4orce 213 Tekna 5dr Auto SUV,"38,590",2023,Semi-Auto,43.5 mpg,Hybrid,2023,1.5L,"6,824 miles",Hybrid,Semiauto,Grey,SUV,43.5 mpg
