url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30858158,Porsche Cayenne,Tiptronic S SUV,"2,995",2006,Automatic,20.9 mpg,Petrol,2006,3189cc,"137,000 miles",Petrol,Automatic,Reflex Silver Metallic,SUV,20.9 mpg
/ad/30839165,Porsche Cayenne,3.2 V6 SUV,"3,800",2006,Automatic,20.9 mpg,Petrol,2006,3189cc,"120,000 miles",Petrol,Automatic,Black,SUV,20.9 mpg
/ad/30770100,Porsche Boxster,2.7 987 FSH INC CLUTCH FLYWHEEL + IMS Convertible,"3,950",2005,Manual,29.4 mpg,Petrol,2005,2687cc,"111,000 miles",Petrol,Manual,Black,Convertible,29.4 mpg
/ad/30692206,Porsche Cayenne,S 4.5 Other,"4,000",2003,Automatic,17.9 mpg,Petrol,2003,4500cc,"98,000 miles",Petrol,Automatic,Blue,Other,17.9 mpg
/ad/30416210,Porsche Boxster,24V S 2-Door 9 SERVICES EXTREMELY CLEAN STRAIGHT EXAMPLE Convertible,"4,495",2004,Manual,26.9 mpg,Petrol,2004,3200cc,"118,000 miles",Petrol,Manual,Grey,Convertible,26.9 mpg
/ad/29070143,Porsche Boxster,3.2 S 2d 248 BHP Convertible,"4,795",2001,Manual,26.5 mpg,Petrol,2001,3200cc,"109,695 miles",Petrol,Manual,SILVER,Convertible,26.5 mpg
/ad/30915496,Porsche Boxster,24V 2-Door Convertible,"4,850",2002,Manual,28.6 mpg,Petrol,2002,2700cc,"98,000 miles",Petrol,Manual,Silver,Convertible,28.6 mpg
/ad/30474182,Porsche Cayenne,4.5 S Suv 4.5 Other,"4,975",2003,Automatic,19.0 mpg,Petrol,2003,4500cc,"145,000 miles",Petrol,Automatic,Silver,Other,19 mpg
/ad/30911705,Porsche Boxster,2.5 986 2dr Convertible,"4,989",1999,Manual,34.9 mpg,Petrol,1999,2480cc,"114,000 miles",Petrol,Manual,Red,Convertible,34.9 mpg
/ad/30544707,Porsche Boxster,2.7 SPYDER 2d 228 BHP Convertible,"4,990",2003,Manual,29.1 mpg,Petrol,2003,2700cc,"98,000 miles",Petrol,Manual,SILVER,Convertible,29.1 mpg
/ad/30692169,Porsche Cayenne,4.5 V8 S SUV,"4,995",2006,Automatic,19.0 mpg,Petrol,2006,4511cc,"93,982 miles",Petrol,Automatic,Black,SUV,19 mpg
/ad/30451819,Porsche Boxster,2.7 Convertible 2d 2687cc,"5,994",2004,Manual,Tax: n/a,2004,2687cc,"110,000 miles",Petrol,Manual,Black,Convertible,,
/ad/29643531,Porsche Boxster,3.2 24V S 2d 260 BHP Convertible,"5,995",2003,Manual,26.9 mpg,Petrol,2003,3200cc,"110,000 miles",Petrol,Manual,SILVER,Convertible,26.9 mpg
/ad/27199466,Porsche Boxster,2.7 Convertible,"5,995",2002,Manual,28.6 mpg,Petrol,2002,2687cc,"114,000 miles",Petrol,Manual,Red,Convertible,28.6 mpg
/ad/28711701,Porsche Cayenne,TIPTRONIC S Estate,"5,999",2007,Automatic,22.0 mpg,Petrol,2007,3598cc,"88,000 miles",Petrol,Automatic,Silver,Estate,22 mpg
/ad/30718707,Porsche Boxster,2.7 986 2dr Convertible,"6,094",2003,Manual,29.1 mpg,Petrol,2003,2687cc,"104,900 miles",Petrol,Manual,Silver,Convertible,29.1 mpg
/ad/30852456,Porsche Boxster,3.2 24V S 2d 260 BHP Convertible,"6,495",2003,Manual,26.9 mpg,Petrol,2003,3200cc,"102,500 miles",Petrol,Manual,BLUE,Convertible,26.9 mpg
/ad/29196782,Porsche Cayenne,5 DOOR TIPTRONIC S 3.6 LITRE Estate,"6,750",2008,Automatic,22.0 mpg,Petrol,2008,3598cc,"111,000 miles",Petrol,Automatic,Silver,Estate,22 mpg
/ad/28343013,Porsche Boxster,24V TIPTRONIC S Convertible,"6,895",2002,Automatic,26.0 mpg,Petrol,2002,2687cc,"114,639 miles",Petrol,Automatic,Black,Convertible,26 mpg
/ad/30348524,Porsche Boxster,986 2.7 Other,"6,950",2000,Manual,28.6 mpg,Petrol,2000,2700cc,"78,000 miles",Petrol,Manual,Silver,Other,28.6 mpg
/ad/30207210,Porsche Boxster,24v 2.7 Other,"6,950",2004,Manual,29.1 mpg,Petrol,2004,2700cc,"88,000 miles",Petrol,Manual,Grey,Other,29.1 mpg
/ad/30501058,Porsche Boxster,2.7 24V TIPTRONIC S Convertible,"6,990",2003,Automatic,26.4 mpg,Petrol,2003,2700cc,"90,000 miles",Petrol,Automatic,BLUE,Convertible,26.4 mpg
/ad/29954025,Porsche Boxster,2.7 SPYDER 2d 228 BHP Convertible,"6,995",2004,Manual,29.1 mpg,Petrol,2004,2700cc,"57,900 miles",Petrol,Manual,SILVER,Convertible,29.1 mpg
/ad/30101638,Porsche Boxster,986 2.7,"6,995",2003,Manual,Tax: n/a,2003,2.7L,"64,449 miles",Petrol,Manual,Grey Steel,Convertible,,
/ad/29946493,Porsche Boxster,3.2 S 2d 248 BHP Convertible,"6,995",2001,Manual,26.5 mpg,Petrol,2001,3200cc,"77,325 miles",Petrol,Manual,SILVER,Convertible,26.5 mpg
/ad/30316963,Porsche Boxster,24V S Convertible,"6,995",2003,Manual,26.9 mpg,Petrol,2003,3179cc,"130,200 miles",Petrol,Manual,Grey,Convertible,26.9 mpg
/ad/30955191,Porsche Boxster,3.2 986 S 2dr FUTURE CLASSIC STUNNING CAR Convertible,"6,995",2003,Manual,26.9 mpg,Petrol,2003,3179cc,"110,000 miles",Petrol,Manual,Black,Convertible,26.9 mpg
/ad/29572911,Porsche Cayenne,D TIPTRONIC S Estate,"6,999",2009,Automatic,30.4 mpg,Diesel,2009,2967cc,"178,000 miles",Diesel,Automatic,Black,Estate,30.4 mpg
/ad/30911501,Porsche Cayenne,3.0 TDI V6 SUV,"7,000",2009,Automatic,30.4 mpg,Diesel,2009,2967cc,"128,500 miles",Diesel,Automatic,Black,SUV,30.4 mpg
/ad/27127278,Porsche Boxster,24v 2.7 Other,"7,235",2004,Manual,29.1 mpg,Petrol,2004,2700cc,"102,363 miles",Petrol,Manual,Grey,Other,29.1 mpg
/ad/29211083,Porsche Boxster,24v 2.7 Other,"7,950",2002,Manual,28.6 mpg,Petrol,2002,2700cc,"75,000 miles",Petrol,Manual,Black,Other,28.6 mpg
/ad/30147280,Porsche Boxster,2.7 24V 2d 240 BHP Convertible,"7,950",2005,Manual,29.4 mpg,Petrol,2005,2687cc,"87,000 miles",Petrol,Manual,SILVER,Convertible,29.4 mpg
/ad/29316606,Porsche Boxster,Boxster,"7,995",2002,Manual,26.5 mpg,Petrol,2002,3.2L,"49,719 miles",Petrol,Manual,Silver,Convertible,26.5 mpg
/ad/30903962,Porsche Boxster,2.7 986 Convertible,"7,995",2003,Manual,29.1 mpg,Petrol,2003,2687cc,"52,000 miles",Petrol,Manual,Black,Convertible,29.1 mpg
/ad/30699347,Porsche Boxster,3.2 986 S Convertible,"7,995",2002,Automatic,25.0 mpg,Petrol,2002,3179cc,"75,000 miles",Petrol,Automatic,Blue,Convertible,25 mpg
/ad/29189820,Porsche Cayenne,4.5 TURBO 5d AUTO 450 BHP Estate,"7,995",2004,Automatic,18.0 mpg,Petrol,2004,4511cc,"119,800 miles",Petrol,Automatic,SILVER,Estate,18 mpg
/ad/30199086,Porsche Boxster,3.2 S 2dr Other,"7,995",2005,Manual,27.2 mpg,Petrol,2005,3179cc,"144,000 miles",Petrol,Manual,Grey,Other,27.2 mpg
/ad/30575984,Porsche Cayenne,3.0 TDI V6 Tiptronic S AWD 5dr SUV,"8,105",2009,Automatic,30.4 mpg,Diesel,2009,2967cc,"112,000 miles",Diesel,Automatic,Grey,SUV,30.4 mpg
