url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30328135,Porsche 911,4.0 GT3 RS Coupe 2dr Petrol PDK Euro 6 (525 ps) Coupe,"562,800",2023,Automatic,21.1 mpg,Petrol,2023,3996cc,39 miles,Petrol,Automatic,SILVER,Coupe,21.1 mpg
/ad/30869766,Porsche 911,GT3 RS PDK. WEISSACH & CLUBSPORT PACKS. FRONT LIFT. PCCBs. MAG WHEELS. Coupe,"379,995",2023,Automatic,21.1 mpg,Petrol,2023,3996cc,12 miles,Petrol,Automatic,Black,Coupe,21.1 mpg
/ad/28854293,Porsche 911,GT2 RS 2dr PDK Coupe,"339,950",2018,Automatic,23.9 mpg,Petrol,2018,3800cc,"6,800 miles",Petrol,Automatic,Red,Coupe,23.9 mpg
/ad/30765656,Porsche 911,GT2 RS PDK. HUGE SPECIFICATION. WEISSACH & CLUBSPORT PACKS. SATIN CARBON. Coupe,"319,995",2018,Automatic,23.9 mpg,Petrol,2018,3800cc,"4,155 miles",Petrol,Automatic,Silver,Coupe,23.9 mpg
/ad/30869656,Porsche 911,BRABUS 820 HP 3.7T 992 Turbo S Coupe Coupe,"309,995",2023,Automatic,23.5 mpg,Petrol,2023,3745cc,100 miles,Petrol,Automatic,Black,Coupe,23.5 mpg
/ad/30869653,Porsche 911,BRABUS 720 HP 3.7T 992 Turbo S Convertible Convertible,"299,995",2023,Automatic,23.3 mpg,Petrol,2023,3745cc,100 miles,Petrol,Automatic,Grey,Convertible,23.3 mpg
/ad/28940772,Porsche 911,GTS 2dr PDK Other,"225,950",2011,Automatic,27.4 mpg,Petrol,2011,3800cc,"9,000 miles",Petrol,Automatic,White,Other,27.4 mpg
/ad/30127978,Porsche 911,[992] GT COUPE Coupe,"224,950",2023,Automatic,21.7 mpg,Petrol,2023,3996cc,438 miles,Petrol,Automatic,ARTIC GREY,Coupe,21.7 mpg
/ad/30925810,Porsche Taycan,BRABUS Turbo S Saloon 4dr Electric Auto 4WD (11kW Charger) (761 ps) Saloon,"219,995",2023,Automatic,Tax: £0,2023,100 miles,Other,Automatic,Black,Saloon,,,
/ad/30774224,Porsche 911,GT3 TOURING. 6-SPEED MANUAL. FULL PPF. BOSE. FRONT LIFT. CARBON ROOF. Coupe,"204,995",2022,Manual,21.9 mpg,Petrol,2022,3996cc,"4,735 miles",Petrol,Manual,Blue,Coupe,21.9 mpg
/ad/30639956,Porsche Cayman,4.0 GT4 RS 2dr PDK Coupe,"199,900",2023,Automatic,21.4 mpg,Petrol,2023,3996cc,"1,067 miles",Petrol,Automatic,Black,Coupe,21.4 mpg
/ad/30945268,Porsche 911,GT3 2dr PDK Hatchback,"195,000",2023,Automatic,26.2 mpg,Petrol,2023,3996cc,"2,243 miles",Petrol,Automatic,Blue,Hatchback,26.2 mpg
/ad/30838666,Porsche 911,GT3 TOURING PDK. FRONT AXLE LIFT. BOSE. 18 WAY SEATS. PCCBS. SPORTS CHRONO. Coupe,"194,995",2022,Automatic,21.9 mpg,Petrol,2022,3996cc,"2,100 miles",Petrol,Automatic,Black,Coupe,21.9 mpg
/ad/29345146,Porsche 911,3.7 TURBO S PDK 2d 641 BHP Coupe,"189,990",2022,Automatic,23.5 mpg,Petrol,2022,3745cc,600 miles,Petrol,Automatic,GREEN,Coupe,23.5 mpg
/ad/30805454,Porsche 911,GT3 2dr Hatchback,"188,900",2022,Manual,21.9 mpg,Petrol,2022,3996cc,"2,531 miles",Petrol,Manual,White,Hatchback,21.9 mpg
/ad/29794256,Porsche 911,GT3 2dr Hatchback,"187,950",2021,Manual,21.9 mpg,Petrol,2021,4000cc,"4,111 miles",Petrol,Manual,Grey,Hatchback,21.9 mpg
/ad/30889662,Porsche 911,4.0 992 GT3 PDK Euro 6 2dr Coupe,"184,995",2023,Automatic,21.7 mpg,Petrol,2023,3996cc,388 miles,Petrol,Automatic,Black,Coupe,21.7 mpg
/ad/30863908,Porsche 718,Cayman Coupe,"184,718",2023,Automatic,21.4 mpg,Petrol,2023,3996cc,"1,244 miles",Petrol,Automatic,Silver,Coupe,21.4 mpg
/ad/30529160,Porsche 911,3.7 TURBO S PDK 2d 641 BHP Convertible,"181,995",2023,Automatic,23.3 mpg,Petrol,2023,3745cc,508 miles,Petrol,Automatic,PINK,Convertible,23.3 mpg
/ad/30388701,Porsche 911,3.7 TURBO S PDK 2d AUTO 641 BHP Coupe,"179,995",2023,Automatic,23.5 mpg,Petrol,2023,3745cc,78 miles,Petrol,Automatic,BLACK,Coupe,23.5 mpg
/ad/30745985,Porsche 911,4.0 991 GT3 RS PDK Euro 6 2dr Coupe,"179,995",2018,Automatic,22.1 mpg,Petrol,2018,"10,777 miles",Petrol,Automatic,Green,Coupe,22.1 mpg,
/ad/30884671,Porsche 911,GT3 2dr PDK Coupe,"175,900",2023,Automatic,21.7 mpg,Petrol,2023,3996cc,"7,410 miles",Petrol,Automatic,Guards Red,Coupe,21.7 mpg
/ad/30258027,Porsche 911,3.8 TURBO S PDK 2d 641 BHP Coupe,"174,995",2020,Automatic,23.5 mpg,Petrol,2020,3745cc,"6,920 miles",Petrol,Automatic,BLACK,Coupe,23.5 mpg
/ad/30780943,Porsche 911,4.0 992 GT3 Coupe,"174,991",2021,Automatic,21.9 mpg,Petrol,2021,3996cc,"6,047 miles",Petrol,Automatic,Green,Coupe,21.9 mpg
/ad/30715474,Porsche 911,3.7 TURBO S PDK 2d 641 BHP Convertible,"169,995",2021,Automatic,23.3 mpg,Petrol,2021,3745cc,"3,300 miles",Petrol,Automatic,GREY,Convertible,23.3 mpg
/ad/27006023,Porsche 911,3.3 Classic Turbo Coupe 2dr Petrol Manual (300 bhp) Coupe,"169,995",1986,Manual,Tax: £325,1986,3299cc,"8,867 miles",Petrol,Manual,Green,Coupe,,
/ad/30738116,Porsche 911,2dr PDK Coupe,"169,990",2023,Automatic,23.5 mpg,Petrol,2023,3745cc,250 miles,Petrol,Automatic,Unknown,Coupe,23.5 mpg
/ad/30426907,Porsche 911,Heritage Edition S 2dr Coupe,"169,849",2021,Manual,27.2 mpg,Petrol,2021,2981cc,"3,548 miles",Petrol,Manual,Black,Coupe,27.2 mpg
/ad/30319352,Porsche 911,Heritage Edition S 2dr Coupe,"169,849",2021,Manual,26.4 mpg,Petrol,2021,2981cc,"3,548 miles",Petrol,Manual,Black,Coupe,26.4 mpg
/ad/30180502,Porsche 911,S 2dr PDK Coupe,"167,420",2023,Semi-Auto,23.5 mpg,Petrol,2023,3.7L,39 miles,Petrol,Semiauto,Black,Coupe,23.5 mpg
/ad/29920476,Porsche 911,3.0T 992 4 GTS Targa 2dr PDK 4WD Euro 6 (s/s) (480 ps) Convertible,"166,794",2023,Automatic,25.7 mpg,Petrol,2023,2981cc,79 miles,Petrol,Automatic,GREY,Convertible,25.7 mpg
/ad/30861225,Porsche 911,GT3 RS 2dr PDK Coupe,"165,000",2016,Automatic,22.2 mpg,Petrol,2016,3996cc,"10,884 miles",Petrol,Automatic,Black,Coupe,22.2 mpg
/ad/30827438,Porsche 911,S 2dr PDK Convertible,"162,900",2023,Automatic,23.3 mpg,Petrol,2023,3745cc,"2,927 miles",Petrol,Automatic,Grey,Convertible,23.3 mpg
/ad/30312045,Porsche 911,Convertible,"159,950",1970,Manual,Tax: n/a,1970,2200cc,"58,000 miles",Petrol,Manual,Yellow,Convertible,,
/ad/29245221,Porsche 911,3.7 TURBO S PDK 2d 641 BHP Convertible,"158,995",2020,Automatic,23.3 mpg,Petrol,2020,3745cc,"5,071 miles",Petrol,Automatic,BLACK,Convertible,23.3 mpg
/ad/30525528,Porsche 911,GT3 RS 2dr PDK Coupe,"158,000",2016,Automatic,22.2 mpg,Petrol,2016,3996cc,"8,780 miles",Petrol,Automatic,White,Coupe,22.2 mpg
/ad/30850930,Porsche 911,3.7T 992 Turbo S PDK 4WD Euro 6 (s/s) 2dr Convertible,"157,495",2021,Automatic,23.3 mpg,Petrol,2021,3745cc,"8,200 miles",Petrol,Automatic,Silver,Convertible,23.3 mpg
/ad/30262066,Porsche 911,3.0 TARGA 4 GTS PDK 2d 474 BHP Convertible,"155,994",2023,Automatic,25.7 mpg,Petrol,2023,2981cc,"3,849 miles",Petrol,Automatic,GREY,Convertible,25.7 mpg
/ad/30261856,Porsche Cayenne,E-Hybrid Turbo S 5dr Tiptronic S Estate,"155,975",2023,Automatic,74.3 mpg,Other,2023,4000cc,55 miles,Other,Automatic,Black,Estate,74.3 mpg
/ad/30932389,Porsche 911,3.7 T 992 Turbo S Convertible,"155,000",2020,Automatic,23.3 mpg,Petrol,2020,3745cc,"12,628 miles",Petrol,Automatic,Grey,Convertible,23.3 mpg
/ad/30753600,Porsche Cayenne,Turbo GT 5dr Tiptronic S SUV,"154,995",2023,Semi-Auto,20.0 mpg,Petrol,2023,4L,700 miles,Petrol,Semiauto,Grey,SUV,20 mpg
/ad/29378651,Porsche 911,4.0 991 GT3 RS Coupe 2dr Petrol PDK Euro 6 (500 ps) Coupe,"154,995",2016,Automatic,22.2 mpg,Petrol,2016,3996cc,"9,425 miles",Petrol,Automatic,Pure White,Coupe,22.2 mpg
/ad/30538289,Porsche 911,GT3 RS 2dr PDK Coupe,"154,991",2016,Automatic,22.2 mpg,Petrol,2016,4000cc,"8,891 miles",Petrol,Automatic,Orange,Coupe,22.2 mpg
/ad/29605602,Porsche 911,TURBO S PDK Convertible,"154,491",2020,Automatic,23.3 mpg,Petrol,2020,3745cc,"3,150 miles",Petrol,Automatic,Grey,Convertible,23.3 mpg
