url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/26010108,Renault Megane,1.5dCi 80 Dynamique Estate 5d 1461cc,900,2004,Manual,Tax: n/a,2004,1461cc,"172,000 miles",Diesel,Manual,Red,Estate,,
/ad/29322078,Renault Clio,1.4 16v Dynamique 5dr Nice Cheap Runner Hatchback,950,2006,Manual,42.8 mpg,Petrol,2006,1390cc,"93,700 miles",Petrol,Manual,Black,Hatchback,42.8 mpg
/ad/30914021,Renault Clio,Dynamique Hatchback,990,2004,Manual,47.9 mpg,Petrol,2004,1200cc,"72,252 miles",Petrol,Manual,Red,Hatchback,47.9 mpg
/ad/30959127,Renault Grand Scenic,c 1.5 dCi Dynamique 5dr Hatchback,995,2007,Manual,52.3 mpg,Diesel,2007,1461cc,"134,200 miles",Diesel,Manual,Blue,Hatchback,52.3 mpg
/ad/30492170,Renault Clio,Hatchback,999,2006,Manual,42.8 mpg,Petrol,2006,1390cc,"122,000 miles",Petrol,Manual,Red,Hatchback,42.8 mpg
/ad/25993196,Renault Clio,1.2 16v Dynamique (a/c) Hatchback 3d 1149cc,"1,000",2005,Manual,Tax: n/a,2005,1149cc,"109,000 miles",Petrol,Manual,Black,Hatchback,,
/ad/25021840,Renault Clio,1.5dCi 65 Dynamique (a/c) Hatchback 3d 1461cc,"1,000",2004,Manual,Tax: n/a,2004,1461cc,"130,000 miles",Diesel,Manual,Black,Hatchback,,
/ad/30945466,Renault Laguna,1.5 dCi Dynamique Euro 4 5dr * ready to go * Hatchback,"1,100",2008,Manual,55.4 mpg,Diesel,2008,1461cc,"138,000 miles",Diesel,Manual,Silver,Hatchback,55.4 mpg
/ad/30786773,Renault Clio,o 1.2 Campus 2007 3dr Hatchback,"1,190",2008,Manual,47.1 mpg,Petrol,2008,1149cc,"88,000 miles",Petrol,Manual,Silver,Hatchback,47.1 mpg
/ad/30519309,Renault Megane,e 1.6 VVT Dynamique 2dr Convertible,"1,195",2006,Manual,40.4 mpg,Petrol,2006,1598cc,"73,000 miles",Petrol,Manual,Grey,Convertible,40.4 mpg
/ad/30919629,Renault Clio,o Dynamique 16v 1.4 Other,"1,295",2007,Manual,42.8 mpg,Petrol,2007,1400cc,"96,000 miles",Petrol,Manual,Blue,Other,42.8 mpg
/ad/30874051,Renault Clio,o 1.2 Campus 3dr Hatchback,"1,350",2006,Manual,47.1 mpg,Petrol,2006,1149cc,"87,815 miles",Petrol,Manual,Blue,Hatchback,47.1 mpg
/ad/30955784,Renault Megane,e 1.5 dCi Expression 5dr Hatchback,"1,390",2010,Manual,62.8 mpg,Diesel,2010,1461cc,"101,000 miles",Diesel,Manual,Red,Hatchback,62.8 mpg
/ad/30719301,Renault Grand Scenic,c 1.6 VVT Authentique 5dr Hatchback,"1,400",2006,Manual,38.2 mpg,Petrol,2006,1598cc,"91,000 miles",Petrol,Manual,Other,Hatchback,38.2 mpg
/ad/30803348,Renault Laguna,a 2.0 16v Expression 5dr Hatchback,"1,444",2006,Manual,35.8 mpg,Petrol,2006,1998cc,"114,000 miles",Petrol,Manual,Green,Hatchback,35.8 mpg
/ad/30911838,Renault Clio,o 1.4 16v Dynamique 5dr Hatchback,"1,450",2007,Manual,42.8 mpg,Petrol,2007,1390cc,"115,000 miles",Petrol,Manual,Silver,Hatchback,42.8 mpg
/ad/30848203,Renault Megane,e 1.6 VVT Dynamique 5dr Hatchback,"1,479",2007,Manual,41.5 mpg,Petrol,2007,1598cc,"79,400 miles",Petrol,Manual,Grey,Hatchback,41.5 mpg
/ad/30478190,Renault Clio,o Hatchback,"1,490",2011,Manual,70.6 mpg,Diesel,2011,1461cc,"92,255 miles",Diesel,Manual,Silver,Hatchback,70.6 mpg
