url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/29273536,Skoda Enyaq,220kW vRS 82kWh 4x4 5dr Auto SUV,"49,990",2022,Automatic,Tax: £0,2022,"15,582 miles",Electric,Automatic,Red,SUV,,,
/ad/30772241,Skoda Enyaq,220kW vRS 82kWh 4x4 5dr Auto SUV,"46,560",2022,Automatic,Tax: £0,2022,"1,863 miles",Electric,Automatic,Black,SUV,,,
/ad/30811804,Skoda Kodiaq,2.0 TDI 200 Sport Line 4x4 5dr DSG [7 Seat] SUV,"45,995",2023,Automatic,42.8 mpg,Diesel,2023,2L,"1,789 miles",Diesel,Automatic,Blue,SUV,42.8 mpg
/ad/30924923,Skoda Enyaq,Iv Hatchback,"45,995",2023,Automatic,Tax: £0,2023,"6,423 miles",Electric,Automatic,Graphite Grey,Hatchback,,,
/ad/30688646,Skoda Enyaq,195kW 80x Sportline Plus 82kWh 4x4 5dr Auto SUV,"45,990",2023,Automatic,Tax: n/a,2023,"2,558 miles",Electric,Automatic,Blue,SUV,,,
/ad/29892744,Skoda Enyaq,220kW vRS 82kWh 5dr Auto SUV,"45,491",2022,Automatic,Tax: £0,2022,"3,795 miles",Electric,Automatic,Red,SUV,,,
/ad/29639410,Skoda Enyaq,220kW vRS 82kWh 5dr Auto SUV,"45,001",2022,Automatic,Tax: £0,2022,"4,735 miles",Electric,Automatic,White,SUV,,,
/ad/29735221,Skoda Enyaq,220kW vRS 82kWh 5dr Auto SUV,"45,000",2022,Automatic,Tax: £0,2022,"3,646 miles",Electric,Automatic,Blue,SUV,,,
/ad/30112007,Skoda Enyaq,220kW vRS 82kWh 4x4 5dr Auto SUV,"44,995",2022,Automatic,Tax: £0,2022,"1,545 miles",Electric,Automatic,Orange,SUV,,,
/ad/30111975,Skoda Enyaq,220kW vRS 82kWh 4x4 5dr Auto SUV,"44,995",2022,Automatic,Tax: £0,2022,"15,000 miles",Electric,Automatic,Black,SUV,,,
/ad/30936543,Skoda Enyaq,195kW 80x Sportline 82kWh 4x4 5dr Auto SUV,"44,588",2023,Automatic,Tax: £0,2023,"3,239 miles",Electric,Automatic,Other,SUV,,,
/ad/29366266,Skoda Enyaq,220kW vRS 82kWh 5dr Auto SUV,"44,508",2022,Automatic,Tax: £0,2022,"3,258 miles",Electric,Automatic,Blue,SUV,,,
/ad/30260178,Skoda Enyaq,220kW vRS 82kWh 4x4 5dr Auto SUV,"44,500",2022,Automatic,Tax: £0,2022,442 miles,Electric,Automatic,Orange,SUV,,,
/ad/30799431,Skoda Kodiaq,2.0 TSI 245 vRS 4x4 5dr DSG [7 Seat] SUV,"44,400",2023,Automatic,32.5 mpg,Petrol,2023,2L,"3,821 miles",Petrol,Automatic,Black,SUV,32.5 mpg
/ad/30846621,Skoda Superb,1.4 TSI iV Laurin + Klement DSG 5dr Estate,"43,990",2023,Automatic,235.4 mpg,Hybrid,2023,1395cc,"4,553 miles",Petrol Plugin Hybrid,Automatic,Blue,Estate,235.4 mpg
/ad/30245040,Skoda Kodiaq,Estate,"43,950",2022,Automatic,32.5 mpg,Petrol,2022,1984cc,"5,067 miles",Petrol,Automatic,Red,Estate,32.5 mpg
/ad/30815606,Skoda Enyaq,220kW vRS 82kWh 4x4 5dr Auto SUV,"43,933",2022,Automatic,Tax: £0,2022,"13,475 miles",Electric,Automatic,Black,SUV,,,
/ad/29366603,Skoda Enyaq,220kW vRS 82kWh 5dr Auto SUV,"43,599",2022,Automatic,Tax: £0,2022,"6,423 miles",Electric,Automatic,White,SUV,,,
/ad/30594300,Skoda Enyaq,220kW vRS 82kWh 5dr Auto SUV,"43,195",2023,Automatic,Tax: £0,2023,"4,512 miles",Electric,Automatic,Orange,SUV,,,
/ad/30926468,Skoda Enyaq,150kW 80 Sportline 82kWh 5dr Auto (125kW) SUV,"42,990",2023,Automatic,Tax: £0,2023,78 miles,Electric,Automatic,Blue,SUV,,,
/ad/30750106,Skoda Octavia,2.0 TSI vRS 5dr DSG Estate,"42,500",2023,Semi-Auto,217.3 mpg,Hybrid,2023,2L,9 miles,Hybrid,Semiauto,Blue,Estate,217.3 mpg
/ad/30518391,Skoda Enyaq,220kW vRS 82kWh 4x4 5dr Auto SUV,"42,500",2022,Automatic,Tax: £0,2022,"6,000 miles",Electric,Automatic,Blue,SUV,,,
/ad/30299083,Skoda Kodiaq,Sportline 2.0 TDI 200 DSG 4X4 7 Seat Estate,"42,495",2023,Automatic,42.8 mpg,Diesel,2023,1968cc,"6,104 miles",Diesel,Automatic,Blue,Estate,42.8 mpg
