url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30806707,Suzuki Swift,Dualjet MHEV SZ-T Hatchback,"95,779",2020,Manual,56.5 mpg,Hybrid,2020,1200cc,"24,200 miles",Hybrid,Manual,Silver,Hatchback,56.5 mpg
/ad/30720081,Suzuki Across,2.5 18.1kWh E-CVT 4WD Euro 6 (s/s) 5dr SUV,"47,979",,Automatic,Tax: n/a,2487cc,5 miles,Petrol Plug-in Hybrid,Automatic,Platinum White,SUV,,,
/ad/30422955,Suzuki Across,2.5 PHEV E-Four 5dr CVT Estate,"39,995",2022,Automatic,Tax: £170,2022,2487cc,"5,120 miles",Petrol,Automatic,WHITE,Estate,,
/ad/30886611,Suzuki Across,2.5 18.1kWh E-CVT 4WD Euro 6 (s/s) 5dr SUV,"39,990",2023,Automatic,Tax: £170,2023,2487cc,7 miles,Other,Automatic,Silver,SUV,,
/ad/30430804,Suzuki Across,2.5 PHEV E-Four 5dr CVT Estate,"37,995",2023,Automatic,Tax: £170,2023,2487cc,"3,206 miles",Petrol,Automatic,White,Estate,,
/ad/30318633,Suzuki Across,2.5 PHEV E-Four 5dr CVT Estate,"36,990",2023,Automatic,Tax: £170,2023,2487cc,"3,578 miles",Petrol,Automatic,GREY,Estate,,
/ad/30888458,Suzuki Across,2.5 PHEV E-Four 5dr CVT SUV,"35,999",2023,Automatic,Tax: £170,2023,2.5L,"8,808 miles",Hybrid,Automatic,White,SUV,,
/ad/30717946,Suzuki Across,2.5 PHEV E-Four 5dr CVT SUV,"35,995",2021,Automatic,Tax: £170,2021,2487cc,"6,605 miles",Other,Automatic,Red,SUV,,
/ad/30907691,Suzuki Across,2.5 PHEV E-Four 5dr CVT SUV,"35,906",2023,Automatic,Tax: £170,2023,2.5L,"4,500 miles",Hybrid,Automatic,Black,SUV,,
/ad/30831961,Suzuki Across,2.5 PHEV E-Four 5dr CVT SUV,"34,999",2022,Automatic,Tax: £170,2022,2487cc,"8,153 miles",Other,Automatic,Atittude Black,SUV,,
/ad/30903739,Suzuki Across,2.5 E-FOUR PHEV 5DR CVT Estate,"34,994",2022,Other,Tax: £170,2022,2487cc,"6,557 miles",Other,Other,Attitude Black,Estate,,
/ad/30784384,Suzuki Across,2.5 PHEV E-Four 5dr CVT Estate,"34,590",2022,Automatic,Tax: £170,2022,2487cc,"11,933 miles",Petrol / Electric Hybrid,Automatic,Blue,Estate,,
/ad/30834712,Suzuki SX4,4 S Cross 1.5 Hybrid Ultra ALLGRIP 5dr AGS SUV,"33,199",2023,Automatic,53.3 mpg,Petrol,2023,1462cc,Petrol,Automatic,TITAN DARK GREY METALLIC,SUV,53.3 mpg,
/ad/30812512,Suzuki Across,HYBRID ELECTRIC ESTATE Estate,"32,995",2023,Automatic,Tax: £170,2023,2487cc,"16,629 miles",Other,Automatic,Grey,Estate,,
/ad/30953085,Suzuki Across,2.5 E-FOUR PHEV 5DR CVT Estate,"32,994",2022,Other,Tax: £170,2022,2487cc,"4,604 miles",Other,Other,Attitude Black,Estate,,
/ad/30953098,Suzuki Across,2.5 E-FOUR PHEV 5DR CVT Estate,"32,994",2022,Other,Tax: £170,2022,2487cc,"5,286 miles",Other,Other,Platinum White Pearl,Estate,,
/ad/30720083,Suzuki SX4,S Cross 1.5 Strong Hybrid ULTRA ALLGRIP SUV,"32,649",,Automatic,Tax: n/a,1462cc,Petrol Hybrid,Automatic,WHITE,SUV,,,,
/ad/30747695,Suzuki Across,2.5 18.1kWh E-CVT 4WD Euro 6 (s/s) 5dr Estate,"32,388",2021,Automatic,Tax: £170,2021,2487cc,"7,956 miles",Petrol/Electric,CVT,SILVER,Estate,,
/ad/30400072,Suzuki Jimny,y 1.5 ALLGRIP 101 BHP Other,"31,974",2023,Manual,36.7 mpg,Petrol,2023,1462cc,12 miles,Petrol,Manual,YELLOW/BLACK,Other,36.7 mpg
/ad/30656548,Suzuki SX4,S Cross 1.4 48v Bstjt Mhev Ultra Allgrip Hatchback,"31,449",2000,Manual,47.9 mpg,Other,2000,1373cc,100 miles,Other,Manual,Cosmic Black,Hatchback,47.9 mpg
/ad/30594696,Suzuki SX4,S Cross 1.4 Boosterjet 48V Hybrid Ultra ALLGRIP 5dr SUV,"31,449",2023,Manual,48.7 mpg,Petrol,2023,1373cc,0 miles,Petrol,Manual,Titan Dark Grey Metallic,SUV,48.7 mpg
/ad/25232334,Suzuki Jimny,1.5 SZ5 ALLGRIP 3dr Estate,"29,995",2018,Manual,35.8 mpg,Petrol,2018,1462cc,"7,733 miles",Petrol,Manual,White,Estate,35.8 mpg
/ad/30429441,Suzuki Across,2.5 PHEV E-Four 5dr CVT SUV,"29,499",2021,Automatic,Tax: £170,2021,2.5L,"15,835 miles",Hybrid,Automatic,Red,SUV,,
/ad/29987716,Suzuki Swace,1.8h Motion CVT Euro 6 (s/s) 5dr Estate,"29,349",,Automatic,Tax: n/a,1798cc,5 miles,Petrol Hybrid,Automatic,Super White,Estate,,,
/ad/30950064,Suzuki Swace,1.8 HYBRID ULTRA 5DR CVT Estate,"29,000",2023,Automatic,62.8 mpg,Other,2023,1798cc,10 miles,Other,Automatic,BLACK,Estate,62.8 mpg
/ad/30782697,Suzuki Jimny,y SUV,"28,999",2019,Manual,35.8 mpg,Petrol,2019,1462cc,"24,148 miles",Petrol,Manual,Silver,SUV,35.8 mpg
/ad/29444569,Suzuki Across,2.5 PHEV E-Four 5dr CVT SUV,"28,990",2021,Automatic,Tax: £170,2021,2.5L,"24,725 miles",Hybrid,Automatic,White,SUV,,
/ad/30125435,Suzuki Across,2.5 18.1kWh E-CVT 4WD Euro 6 (s/s) 5dr SUV,"28,990",2020,Automatic,Tax: £170,2020,2487cc,"15,080 miles",Other,Automatic,Blue,SUV,,
/ad/26303209,Suzuki Across,Estate Estate,"28,799",2020,Automatic,Tax: £140,2020,2500cc,"11,562 miles",Petrol,Automatic,Silky Silver,Estate,,
/ad/30733260,Suzuki Swace,1.8 Hybrid Motion 5dr CVT Estate,"28,790",,Automatic,62.8 mpg,Hybrid,1798cc,"2,871 miles",Petrol Hybrid,Automatic,White,Estate,62.8 mpg,
/ad/30439574,Suzuki SX4,S Cross 1.5 Boosterjet MHEV Motion Auto Euro 6 (s/s) 5dr SUV,"28,399",,Automatic,Tax: n/a,1462cc,5 miles,Petrol Hybrid,Automatic,Titan Dark Grey Pearl,SUV,,,
/ad/30408676,Suzuki SX4,S Cross 1.5 Boosterjet MHEV Motion Auto Euro 6 (s/s) 5dr SUV,"28,399",,Automatic,Tax: n/a,1462cc,5 miles,Petrol Hybrid,Automatic,Silky Silver,SUV,,,
/ad/30430777,Suzuki SX4,4 S Cross Other,"28,399",2023,Manual,47.9 mpg,Petrol,2023,1373cc,10 miles,Petrol,Manual,Red,Other,47.9 mpg
/ad/30282014,Suzuki Across,Hatchback,"28,399",2023,Manual,47.9 mpg,Petrol,2023,1373cc,"2,500 miles",Petrol,Manual,Blue,Hatchback,47.9 mpg
/ad/30923224,Suzuki S-Cross,1.5 Hybrid Ultra ALLGRIP 5dr AGS SUV,"27,995",2023,Semi-Auto,48.7 mpg,Hybrid,2023,1.5L,657 miles,Hybrid,Semiauto,Grey,SUV,48.7 mpg
/ad/30907564,Suzuki SX4,4 S Cross 1.4 Mild Hybrid Ultra ALLGRIP Other,"27,950",2000,Manual,47.9 mpg,Petrol,2000,1373cc,500 miles,Petrol,Manual,Titan Grey,Other,47.9 mpg
/ad/30672879,Suzuki Swace,1.8 Hybrid Ultra CVT Estate,"27,950",2000,Automatic,62.8 mpg,Petrol,2000,1798cc,"3,400 miles",Petrol,Automatic,Phantom Brown,Estate,62.8 mpg
