url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30782649,Suzuki Ignis,s 1.5 GLX 4GRIP VVT-S 5DR Manual Hatchback,999,2004,Manual,39.2 mpg,Petrol,2004,1490cc,"105,000 miles",Petrol,Manual,Yellow,Hatchback,39.2 mpg
/ad/30560891,Suzuki Swift,Hatchback,"1,295",2008,Manual,48.7 mpg,Petrol,2008,1328cc,"90,000 miles",Petrol,Manual,Red,Hatchback,48.7 mpg
/ad/30515788,Suzuki Swift,Hatchback,"1,295",2008,Manual,48.7 mpg,Petrol,2008,1328cc,"90,000 miles",Petrol,Manual,Red,Hatchback,48.7 mpg
/ad/29632180,Suzuki Swift,t Hatchback,"1,295",2011,Manual,48.7 mpg,Petrol,2011,1328cc,Petrol,Manual,Black,Hatchback,48.7 mpg,
/ad/30861594,Suzuki Alto,o 1.0 12V SZ Hatchback,"1,490",2013,Manual,65.7 mpg,Petrol,2013,996cc,"77,816 miles",Petrol,Manual,Silver,Hatchback,65.7 mpg
/ad/30718738,Suzuki Ignis,s 1.3 GL 3dr Hatchback,"1,494",2002,Manual,44.1 mpg,Petrol,2002,1328cc,"118,853 miles",Petrol,Manual,Green,Hatchback,44.1 mpg
/ad/30904099,Suzuki Wagon R,R 1.2 GL 5dr Hatchback,"1,495",2006,Manual,47.1 mpg,Petrol,2006,1229cc,"73,996 miles",Petrol,Manual,Red,Hatchback,47.1 mpg
/ad/30852299,Suzuki Wagon R,R 1.3 VVT 16V GL 5dr Estate,"1,590",2004,Manual,44.8 mpg,Petrol,2004,1328cc,"89,990 miles",Petrol,Manual,Silver,Estate,44.8 mpg
/ad/30498375,Suzuki Grand Vitara,X-ec 1.9 Other,"1,795",2008,Manual,38.2 mpg,Diesel,2008,1900cc,"123,000 miles",Diesel,Manual,Black,Other,38.2 mpg
/ad/30702982,Suzuki Swift,t 1.5 GLX Hatchback,"1,795",2006,Manual,43.5 mpg,Petrol,2006,1490cc,"127,000 miles",Petrol,Manual,Multicolour,Hatchback,43.5 mpg
/ad/30958917,Suzuki Wagon R,R 1.3 GL 5dr Hatchback,"1,795",2001,Automatic,40.9 mpg,Petrol,2001,1298cc,"38,000 miles",Petrol,Automatic,Silver,Hatchback,40.9 mpg
/ad/30284735,Suzuki Liana,Glx 1.6 Other,"1,975",2007,Manual,40.9 mpg,Petrol,2007,1600cc,"34,252 miles",Petrol,Manual,Black,Other,40.9 mpg
/ad/30496818,Suzuki Alto,Sz3 1 Other,"1,995",2009,Manual,64.2 mpg,Other,2009,1000cc,"101,089 miles",Other,Manual,Blue,Other,64.2 mpg
/ad/29130203,Suzuki Swift,Hatchback,"1,995",2007,Manual,46.3 mpg,Petrol,2007,1328cc,"103,489 miles",Petrol,Manual,Red,Hatchback,46.3 mpg
